TransactionID,CardType,CardTier,AmountUSD,MerchantCategory,DeviceOS,CountryCode,CVV_Result,ThreeDSecureStatus,VelocityLastHour,RiskEngineScore,IsChargeback
CGW_0000063,CREDIT,GOLD,3805.76,4722_TRAVEL,iOS,IN,MATCH,SUCCESS_BIOMETRIC,12,0.96,1
CGW_0000064,CORPORATE,CLASSIC,4096.27,4722_TRAVEL,Windows_Chrome,US,MATCH,SUCCESS_BIOMETRIC,7,0.65,1
CGW_0000065,CREDIT,SIGNATURE,3498.50,5732_ELECTRONICS,Windows_Chrome,CA,MISMATCH,SUCCESS_BIOMETRIC,3,0.33,1
CGW_0000066,CORPORATE,PLATINUM,1917.27,4722_TRAVEL,Windows_Chrome,US,MATCH,SUCCESS_BIOMETRIC,1,0.80,0
CGW_0000067,CORPORATE,PLATINUM,2160.38,7995_BETTING,Linux_Firefox,AE,MATCH,FAILED,6,0.96,1
CGW_0000068,PREPAID,SIGNATURE,1899.22,5812_RESTAURANT,MacOS_Safari,SG,MATCH,SUCCESS_OTP,3,0.94,1
CGW_0000069,DEBIT,SIGNATURE,469.08,7995_BETTING,Linux_Firefox,AU,MATCH,BYPASSED,9,0.26,1
CGW_0000070,CREDIT,GOLD,4265.35,5732_ELECTRONICS,Windows_Chrome,DE,MATCH,BYPASSED,3,0.97,1
CGW_0000071,CREDIT,INFINITE,3293.81,4722_TRAVEL,Android,DE,MATCH,SUCCESS_OTP,12,0.55,0
CGW_0000072,CREDIT,PLATINUM,821.34,5411_GROCERY,MacOS_Safari,SG,MATCH,BYPASSED,5,0.27,0
CGW_0000073,CREDIT,INFINITE,1019.46,4722_TRAVEL,MacOS_Safari,DE,MATCH,SUCCESS_BIOMETRIC,5,0.95,1
CGW_0000074,CORPORATE,CLASSIC,2877.27,4722_TRAVEL,Linux_Firefox,CA,MATCH,FAILED,11,0.95,1
CGW_0000075,DEBIT,GOLD,3988.67,4829_MONEY_TRANSFER,Windows_Chrome,AU,MATCH,SUCCESS_OTP,6,0.28,0
CGW_0000076,CORPORATE,CLASSIC,3232.82,5732_ELECTRONICS,Windows_Chrome,IN,MATCH,SUCCESS_BIOMETRIC,9,0.61,0
CGW_0000077,CORPORATE,CLASSIC,3362.06,5812_RESTAURANT,MacOS_Safari,AE,MATCH,SUCCESS_OTP,6,0.47,1
CGW_0000078,DEBIT,CLASSIC,3376.67,5812_RESTAURANT,MacOS_Safari,AE,MATCH,FAILED,8,0.38,0
CGW_0000079,PREPAID,GOLD,2398.04,4722_TRAVEL,MacOS_Safari,GB,MISMATCH,BYPASSED,10,0.37,1
CGW_0000080,CORPORATE,CLASSIC,2233.70,7995_BETTING,MacOS_Safari,DE,MATCH,SUCCESS_OTP,2,0.02,1
CGW_0000081,CORPORATE,PLATINUM,1001.78,5411_GROCERY,Android,US,MATCH,SUCCESS_OTP,5,0.25,0
CGW_0000082,PREPAID,INFINITE,3949.40,4829_MONEY_TRANSFER,Windows_Chrome,IN,MATCH,SUCCESS_OTP,1,0.14,0
CGW_0000083,DEBIT,INFINITE,3732.44,4829_MONEY_TRANSFER,iOS,AU,MISMATCH,SUCCESS_BIOMETRIC,1,0.62,1
CGW_0000084,DEBIT,PLATINUM,523.86,7995_BETTING,Android,AE,MATCH,BYPASSED,4,0.42,1
CGW_0000085,CREDIT,PLATINUM,1850.53,4829_MONEY_TRANSFER,Linux_Firefox,GB,MISMATCH,FAILED,6,0.87,1
CGW_0000086,DEBIT,SIGNATURE,2900.89,5812_RESTAURANT,Windows_Chrome,AE,MISMATCH,BYPASSED,4,0.50,1
CGW_0000087,CORPORATE,CLASSIC,872.90,4829_MONEY_TRANSFER,iOS,IN,MISMATCH,SUCCESS_OTP,6,0.02,1
CGW_0000088,PREPAID,INFINITE,1815.64,5812_RESTAURANT,Android,US,MATCH,SUCCESS_BIOMETRIC,6,0.03,0
CGW_0000089,DEBIT,PLATINUM,4383.42,7995_BETTING,MacOS_Safari,SG,MATCH,BYPASSED,8,0.50,1
CGW_0000090,DEBIT,PLATINUM,789.97,5812_RESTAURANT,iOS,US,MATCH,BYPASSED,2,0.36,0
CGW_0000091,DEBIT,GOLD,1630.53,5732_ELECTRONICS,Linux_Firefox,SG,MATCH,FAILED,11,0.43,0
CGW_0000092,CORPORATE,GOLD,4316.30,5812_RESTAURANT,Windows_Chrome,DE,MISMATCH,FAILED,8,0.21,1
CGW_0000093,CREDIT,INFINITE,430.47,4829_MONEY_TRANSFER,Android,CA,MATCH,SUCCESS_BIOMETRIC,2,0.61,0
CGW_0000094,CORPORATE,INFINITE,1246.27,4722_TRAVEL,Linux_Firefox,IN,MATCH,SUCCESS_OTP,2,0.72,0
CGW_0000095,CORPORATE,PLATINUM,3692.79,4722_TRAVEL,MacOS_Safari,IN,MATCH,SUCCESS_OTP,2,0.97,1
CGW_0000096,DEBIT,SIGNATURE,1871.70,5411_GROCERY,iOS,CA,MATCH,FAILED,4,0.19,0
CGW_0000097,CREDIT,GOLD,2308.73,4829_MONEY_TRANSFER,Android,US,MATCH,BYPASSED,12,0.29,0
CGW_0000098,DEBIT,GOLD,3087.98,4829_MONEY_TRANSFER,Linux_Firefox,DE,MATCH,BYPASSED,4,0.27,1
CGW_0000099,CORPORATE,GOLD,69.69,4722_TRAVEL,MacOS_Safari,IN,MATCH,SUCCESS_BIOMETRIC,11,0.63,0
CGW_0000100,CORPORATE,GOLD,1509.51,4829_MONEY_TRANSFER,Windows_Chrome,AE,MISMATCH,BYPASSED,9,0.35,1
CGW_0000101,CREDIT,INFINITE,1974.17,4829_MONEY_TRANSFER,iOS,GB,MATCH,SUCCESS_OTP,5,0.32,0
CGW_0000102,DEBIT,CLASSIC,1574.20,4829_MONEY_TRANSFER,Android,IN,MATCH,BYPASSED,10,0.53,0
CGW_0000103,PREPAID,GOLD,3001.94,4829_MONEY_TRANSFER,Linux_Firefox,SG,MATCH,BYPASSED,5,0.03,1
CGW_0000104,DEBIT,INFINITE,546.13,7995_BETTING,MacOS_Safari,DE,MATCH,BYPASSED,1,0.16,1
CGW_0000105,CREDIT,INFINITE,3917.61,5411_GROCERY,Linux_Firefox,US,MATCH,BYPASSED,1,0.35,1
CGW_0000106,DEBIT,PLATINUM,2364.79,4722_TRAVEL,iOS,DE,MATCH,FAILED,2,0.94,1
CGW_0000107,PREPAID,GOLD,1503.63,5732_ELECTRONICS,iOS,SG,MATCH,BYPASSED,12,0.81,0
CGW_0000108,CREDIT,GOLD,624.95,5812_RESTAURANT,Linux_Firefox,DE,MATCH,FAILED,7,0.83,0
CGW_0000109,PREPAID,SIGNATURE,2307.95,7995_BETTING,MacOS_Safari,IN,MATCH,SUCCESS_BIOMETRIC,2,0.94,1
CGW_0000110,CORPORATE,PLATINUM,3656.85,4829_MONEY_TRANSFER,Windows_Chrome,DE,MATCH,BYPASSED,11,0.75,0
CGW_0000111,PREPAID,PLATINUM,2987.56,4829_MONEY_TRANSFER,MacOS_Safari,US,MISMATCH,SUCCESS_BIOMETRIC,6,0.88,1
CGW_0000112,CORPORATE,CLASSIC,3448.48,5411_GROCERY,Windows_Chrome,IN,MISMATCH,SUCCESS_BIOMETRIC,5,0.04,1
CGW_0000113,CORPORATE,CLASSIC,3092.91,4722_TRAVEL,iOS,AE,MATCH,SUCCESS_OTP,4,0.20,1
CGW_0000114,CORPORATE,CLASSIC,3239.13,5411_GROCERY,Linux_Firefox,CA,MATCH,BYPASSED,12,0.45,0
CGW_0000115,CREDIT,SIGNATURE,4215.83,5411_GROCERY,Linux_Firefox,AU,MATCH,BYPASSED,3,0.73,0
CGW_0000116,CORPORATE,GOLD,110.92,4829_MONEY_TRANSFER,Linux_Firefox,GB,MATCH,SUCCESS_OTP,10,0.21,0
CGW_0000117,PREPAID,INFINITE,2988.67,7995_BETTING,Android,DE,MATCH,SUCCESS_OTP,9,0.45,1
CGW_0000118,PREPAID,GOLD,309.60,5812_RESTAURANT,Windows_Chrome,GB,MATCH,FAILED,5,0.55,0
CGW_0000119,CORPORATE,SIGNATURE,3005.68,5411_GROCERY,Linux_Firefox,IN,MATCH,SUCCESS_OTP,5,0.43,0
CGW_0000120,DEBIT,PLATINUM,1183.97,5411_GROCERY,Linux_Firefox,CA,MATCH,FAILED,8,0.38,0
CGW_0000121,PREPAID,PLATINUM,4486.47,5411_GROCERY,iOS,DE,MATCH,BYPASSED,3,0.11,1
CGW_0000122,CORPORATE,CLASSIC,4317.34,4829_MONEY_TRANSFER,iOS,US,MATCH,FAILED,4,0.14,1
CGW_0000123,PREPAID,INFINITE,2619.07,5812_RESTAURANT,Linux_Firefox,SG,MATCH,FAILED,9,0.10,0
CGW_0000124,PREPAID,GOLD,974.30,7995_BETTING,iOS,SG,MATCH,BYPASSED,1,0.61,1
CGW_0000125,CREDIT,PLATINUM,1726.90,4722_TRAVEL,MacOS_Safari,DE,MATCH,SUCCESS_OTP,4,0.38,0
CGW_0000126,CREDIT,PLATINUM,3498.72,4829_MONEY_TRANSFER,Windows_Chrome,CA,MATCH,BYPASSED,7,0.25,1
CGW_0000127,CORPORATE,INFINITE,3290.72,5411_GROCERY,Windows_Chrome,AU,MATCH,FAILED,8,0.77,1
CGW_0000128,CREDIT,SIGNATURE,2049.20,5732_ELECTRONICS,Windows_Chrome,AE,MISMATCH,BYPASSED,2,0.21,1
CGW_0000129,CORPORATE,GOLD,1427.52,4829_MONEY_TRANSFER,iOS,AE,MISMATCH,SUCCESS_BIOMETRIC,4,0.68,1
CGW_0000130,DEBIT,SIGNATURE,2702.63,5812_RESTAURANT,MacOS_Safari,CA,MATCH,FAILED,5,0.53,0
CGW_0000131,PREPAID,PLATINUM,3575.37,5732_ELECTRONICS,Windows_Chrome,CA,MATCH,SUCCESS_BIOMETRIC,5,0.69,0
CGW_0000132,PREPAID,CLASSIC,3880.82,4829_MONEY_TRANSFER,iOS,IN,MATCH,SUCCESS_BIOMETRIC,10,0.61,0
CGW_0000133,CORPORATE,GOLD,2351.61,7995_BETTING,Linux_Firefox,AE,MATCH,SUCCESS_OTP,3,0.09,1
CGW_0000134,CREDIT,INFINITE,1072.30,5732_ELECTRONICS,MacOS_Safari,US,MATCH,BYPASSED,9,0.12,0
CGW_0000135,CORPORATE,CLASSIC,217.29,4722_TRAVEL,Linux_Firefox,DE,MATCH,FAILED,8,0.22,0
CGW_0000136,PREPAID,PLATINUM,4461.99,5812_RESTAURANT,Windows_Chrome,IN,MISMATCH,BYPASSED,8,0.18,1
CGW_0000137,CREDIT,PLATINUM,2019.46,5812_RESTAURANT,Android,AE,MATCH,BYPASSED,10,0.68,0
CGW_0000138,CORPORATE,GOLD,2628.73,5732_ELECTRONICS,Linux_Firefox,IN,MATCH,SUCCESS_BIOMETRIC,7,0.89,1
CGW_0000139,DEBIT,GOLD,1872.87,4829_MONEY_TRANSFER,MacOS_Safari,SG,MISMATCH,SUCCESS_BIOMETRIC,8,0.28,1
CGW_0000140,PREPAID,INFINITE,461.63,7995_BETTING,MacOS_Safari,AU,MISMATCH,SUCCESS_OTP,5,0.96,1
CGW_0000141,CORPORATE,INFINITE,2339.69,5732_ELECTRONICS,Android,GB,MATCH,SUCCESS_OTP,2,0.62,0
CGW_0000142,PREPAID,GOLD,1912.76,4829_MONEY_TRANSFER,Linux_Firefox,GB,MATCH,BYPASSED,6,0.14,0
CGW_0000143,DEBIT,CLASSIC,1834.38,4722_TRAVEL,MacOS_Safari,CA,MATCH,FAILED,8,0.30,0
CGW_0000144,CORPORATE,PLATINUM,1821.55,5411_GROCERY,iOS,SG,MISMATCH,SUCCESS_BIOMETRIC,9,0.73,1
CGW_0000145,PREPAID,GOLD,4424.53,4722_TRAVEL,Android,CA,MATCH,SUCCESS_OTP,8,0.24,1
CGW_0000146,DEBIT,GOLD,2817.89,5812_RESTAURANT,Linux_Firefox,CA,MISMATCH,SUCCESS_BIOMETRIC,6,0.29,1
CGW_0000147,DEBIT,PLATINUM,1980.07,4829_MONEY_TRANSFER,Android,US,MATCH,BYPASSED,7,0.11,0
CGW_0000148,CORPORATE,PLATINUM,1981.66,4829_MONEY_TRANSFER,Android,IN,MISMATCH,BYPASSED,5,0.23,1
CGW_0000149,CREDIT,PLATINUM,671.80,5732_ELECTRONICS,MacOS_Safari,GB,MISMATCH,FAILED,7,0.28,1
CGW_0000150,CORPORATE,GOLD,3908.85,7995_BETTING,iOS,AU,MISMATCH,BYPASSED,7,0.38,1
CGW_0000151,DEBIT,CLASSIC,3647.08,5411_GROCERY,Android,US,MATCH,SUCCESS_OTP,8,0.77,0
CGW_0000152,CREDIT,INFINITE,614.03,5732_ELECTRONICS,MacOS_Safari,IN,MATCH,SUCCESS_BIOMETRIC,8,0.98,1
CGW_0000153,CORPORATE,INFINITE,1561.65,4722_TRAVEL,Android,DE,MATCH,SUCCESS_BIOMETRIC,7,0.62,0
CGW_0000154,CORPORATE,CLASSIC,1724.03,4722_TRAVEL,Windows_Chrome,DE,MATCH,SUCCESS_OTP,3,0.96,1
CGW_0000155,CORPORATE,PLATINUM,651.28,5411_GROCERY,Windows_Chrome,IN,MATCH,SUCCESS_OTP,8,0.44,0
CGW_0000156,DEBIT,SIGNATURE,3866.35,5411_GROCERY,Android,DE,MISMATCH,FAILED,9,0.69,1
CGW_0000157,PREPAID,INFINITE,252.80,4829_MONEY_TRANSFER,Android,AE,MISMATCH,BYPASSED,1,0.30,1
CGW_0000158,CORPORATE,PLATINUM,3598.06,5812_RESTAURANT,MacOS_Safari,AU,MISMATCH,FAILED,6,0.55,1
CGW_0000159,DEBIT,CLASSIC,3835.10,7995_BETTING,Windows_Chrome,IN,MATCH,SUCCESS_BIOMETRIC,6,0.10,1
CGW_0000160,PREPAID,SIGNATURE,2496.58,5411_GROCERY,Windows_Chrome,IN,MATCH,SUCCESS_OTP,7,0.39,0
CGW_0000161,CREDIT,PLATINUM,1534.94,4722_TRAVEL,iOS,AE,MATCH,SUCCESS_OTP,10,0.54,0
CGW_0000162,DEBIT,PLATINUM,1168.83,4722_TRAVEL,Linux_Firefox,IN,MATCH,SUCCESS_BIOMETRIC,4,0.95,1
CGW_0000163,CORPORATE,GOLD,545.82,4829_MONEY_TRANSFER,Android,DE,MATCH,FAILED,1,0.21,0
CGW_0000164,PREPAID,INFINITE,587.09,5411_GROCERY,MacOS_Safari,AU,MATCH,BYPASSED,9,0.37,0
CGW_0000165,CREDIT,PLATINUM,375.53,5812_RESTAURANT,MacOS_Safari,GB,MATCH,SUCCESS_BIOMETRIC,5,0.26,0
CGW_0000166,DEBIT,GOLD,960.17,5732_ELECTRONICS,Linux_Firefox,IN,MATCH,FAILED,12,0.92,1
CGW_0000167,CORPORATE,INFINITE,2551.22,5732_ELECTRONICS,Android,SG,MATCH,BYPASSED,11,0.08,0
CGW_0000168,PREPAID,GOLD,2979.08,7995_BETTING,MacOS_Safari,CA,MISMATCH,SUCCESS_OTP,1,0.74,1
CGW_0000169,CORPORATE,INFINITE,4342.52,4829_MONEY_TRANSFER,Android,US,MATCH,FAILED,7,0.63,1
CGW_0000170,CREDIT,SIGNATURE,3217.19,4829_MONEY_TRANSFER,iOS,CA,MATCH,SUCCESS_OTP,5,0.05,1
CGW_0000171,DEBIT,PLATINUM,1693.74,5812_RESTAURANT,Linux_Firefox,US,MATCH,FAILED,4,0.15,0
CGW_0000172,CORPORATE,SIGNATURE,1408.14,4829_MONEY_TRANSFER,Windows_Chrome,AE,MATCH,SUCCESS_BIOMETRIC,2,0.56,0
CGW_0000173,CORPORATE,PLATINUM,2352.10,5812_RESTAURANT,MacOS_Safari,AE,MATCH,BYPASSED,8,0.23,0
CGW_0000174,CORPORATE,INFINITE,2320.93,5732_ELECTRONICS,Android,GB,MATCH,SUCCESS_OTP,6,0.91,1
CGW_0000175,PREPAID,CLASSIC,1208.84,4829_MONEY_TRANSFER,Android,GB,MATCH,BYPASSED,8,0.86,1
CGW_0000176,CORPORATE,SIGNATURE,4423.79,4829_MONEY_TRANSFER,Android,AU,MATCH,SUCCESS_OTP,1,0.49,0
CGW_0000177,DEBIT,PLATINUM,1646.69,5732_ELECTRONICS,iOS,AE,MATCH,SUCCESS_OTP,12,0.61,0
CGW_0000178,DEBIT,GOLD,4114.50,4829_MONEY_TRANSFER,MacOS_Safari,AE,MISMATCH,BYPASSED,10,0.88,1
CGW_0000179,CREDIT,INFINITE,1782.42,4722_TRAVEL,Android,AU,MATCH,FAILED,12,0.28,0
CGW_0000180,CREDIT,PLATINUM,4442.98,4829_MONEY_TRANSFER,Android,DE,MISMATCH,FAILED,5,0.66,1
CGW_0000181,DEBIT,CLASSIC,3090.37,5812_RESTAURANT,Android,US,MATCH,BYPASSED,10,0.53,0
CGW_0000182,CORPORATE,PLATINUM,4027.18,4829_MONEY_TRANSFER,Android,DE,MATCH,FAILED,1,0.53,0
CGW_0000183,CREDIT,GOLD,3681.58,5411_GROCERY,MacOS_Safari,DE,MISMATCH,SUCCESS_BIOMETRIC,7,0.33,1
CGW_0000184,DEBIT,INFINITE,1022.99,5411_GROCERY,Windows_Chrome,SG,MATCH,SUCCESS_OTP,7,0.72,0
CGW_0000185,CORPORATE,CLASSIC,2520.76,5411_GROCERY,MacOS_Safari,AE,MATCH,SUCCESS_OTP,9,0.23,0
CGW_0000186,CREDIT,INFINITE,2123.28,4722_TRAVEL,Windows_Chrome,CA,MISMATCH,FAILED,7,0.15,1
CGW_0000187,CORPORATE,GOLD,4064.85,4829_MONEY_TRANSFER,Linux_Firefox,AU,MISMATCH,SUCCESS_BIOMETRIC,3,0.96,1
CGW_0000188,PREPAID,CLASSIC,1271.83,5732_ELECTRONICS,Linux_Firefox,SG,MATCH,SUCCESS_OTP,1,0.80,0
CGW_0000189,DEBIT,SIGNATURE,4365.26,5411_GROCERY,Windows_Chrome,GB,MATCH,FAILED,4,0.85,0
CGW_0000190,PREPAID,GOLD,3772.62,5732_ELECTRONICS,iOS,GB,MISMATCH,SUCCESS_OTP,1,0.44,1
CGW_0000191,PREPAID,GOLD,1706.55,5812_RESTAURANT,iOS,US,MATCH,BYPASSED,11,0.79,0
CGW_0000192,PREPAID,SIGNATURE,1519.54,7995_BETTING,MacOS_Safari,AE,MATCH,SUCCESS_BIOMETRIC,10,0.59,1
CGW_0000193,DEBIT,GOLD,2677.68,4722_TRAVEL,MacOS_Safari,CA,MATCH,FAILED,10,0.66,0
CGW_0000194,DEBIT,PLATINUM,2405.76,4722_TRAVEL,Android,IN,MATCH,SUCCESS_OTP,11,0.56,0
CGW_0000195,CREDIT,SIGNATURE,3607.68,4722_TRAVEL,iOS,US,MISMATCH,SUCCESS_BIOMETRIC,9,0.69,1
CGW_0000196,PREPAID,GOLD,2555.84,4722_TRAVEL,MacOS_Safari,SG,MATCH,FAILED,12,0.05,0
CGW_0000197,PREPAID,CLASSIC,2853.38,7995_BETTING,iOS,AU,MISMATCH,FAILED,8,0.06,1
CGW_0000198,DEBIT,INFINITE,1627.59,5812_RESTAURANT,iOS,US,MISMATCH,SUCCESS_OTP,2,0.31,1
