ApplicationID,ApplicantAge,EmploymentType,YearsOfExperience,MonthlyIncomeINR,RequestedLoanAmount,LoanTenureMonths,DebtToIncomeRatio,CIBIL_CreditScore,ExistingActiveLoansCount,LoanPurpose,HasCoApplicant,LoanDefaultRisk
APP_000030,52,SALARIED_GOVT,12.10,135528.38,2385747.04,24,0.66,796,1,DEBT_CONSOLIDATION,NO,1
APP_000031,44,SELF_EMPLOYED_PROFESSIONAL,2.60,257731.95,2167653.94,24,0.65,573,0,BUSINESS_EXPANSION,NO,1
APP_000032,29,CONTRACTUAL,2.70,267063.00,147832.84,48,0.15,754,2,BUSINESS_EXPANSION,NO,0
APP_000033,26,CONTRACTUAL,7.50,325272.17,2268185.87,36,0.66,754,4,BUSINESS_EXPANSION,YES,1
APP_000034,24,CONTRACTUAL,22.60,121641.77,413905.05,120,0.14,646,4,EDUCATION,YES,0
APP_000035,52,SALARIED_GOVT,3.00,260623.70,1554145.99,36,0.36,821,3,VEHICLE_PURCHASE,NO,0
APP_000036,48,SELF_EMPLOYED_PROFESSIONAL,23.50,142528.78,99489.57,24,0.58,728,4,VEHICLE_PURCHASE,NO,1
APP_000037,45,SELF_EMPLOYED_PROFESSIONAL,2.90,40984.67,1025219.80,60,0.20,822,1,EDUCATION,YES,0
APP_000038,36,SALARIED_MNC,18.50,182763.51,1507460.50,120,0.65,813,5,VEHICLE_PURCHASE,YES,1
APP_000039,56,SELF_EMPLOYED_PROFESSIONAL,17.80,298368.45,1180466.29,60,0.66,669,1,HOME_RENOVATION,YES,1
APP_000040,61,SELF_EMPLOYED_PROFESSIONAL,17.10,296863.82,1268253.02,12,0.30,641,3,BUSINESS_EXPANSION,YES,0
APP_000041,56,BUSINESS_OWNER,17.60,99739.18,219626.93,12,0.11,830,5,HOME_RENOVATION,YES,0
APP_000042,57,CONTRACTUAL,22.80,263339.27,991810.12,12,0.22,585,3,MEDICAL_EMERGENCY,NO,1
APP_000043,33,SALARIED_MNC,15.20,176310.50,1341201.45,48,0.74,746,4,DEBT_CONSOLIDATION,NO,1
APP_000044,24,CONTRACTUAL,23.60,255399.15,526103.92,60,0.46,717,4,MEDICAL_EMERGENCY,YES,0
APP_000045,27,SELF_EMPLOYED_PROFESSIONAL,12.70,219136.58,1293008.44,84,0.53,770,1,HOME_RENOVATION,NO,0
APP_000046,26,SALARIED_GOVT,21.60,293636.13,1647721.03,48,0.56,551,1,DEBT_CONSOLIDATION,YES,1
APP_000047,61,SALARIED_GOVT,11.90,187029.07,461201.03,84,0.33,776,2,VEHICLE_PURCHASE,NO,0
APP_000048,44,SELF_EMPLOYED_PROFESSIONAL,8.50,139583.85,200461.41,36,0.67,801,1,VEHICLE_PURCHASE,NO,1
APP_000049,35,BUSINESS_OWNER,14.80,319070.42,1931076.35,12,0.72,652,2,DEBT_CONSOLIDATION,YES,1
APP_000050,44,CONTRACTUAL,19.10,128726.10,208281.70,12,0.49,802,3,DEBT_CONSOLIDATION,YES,0
APP_000051,57,BUSINESS_OWNER,13.90,225671.44,376525.08,48,0.42,678,4,VEHICLE_PURCHASE,YES,0
APP_000052,28,SALARIED_MNC,8.10,147211.45,1987130.77,36,0.21,553,2,BUSINESS_EXPANSION,YES,1
APP_000053,61,BUSINESS_OWNER,20.30,127899.83,636251.52,24,0.50,573,1,EDUCATION,YES,1
APP_000054,60,CONTRACTUAL,18.10,304150.24,1173912.92,60,0.30,685,3,MEDICAL_EMERGENCY,YES,0
APP_000055,28,SALARIED_GOVT,3.40,89189.79,425796.21,12,0.75,829,3,HOME_RENOVATION,NO,1
APP_000056,51,SELF_EMPLOYED_PROFESSIONAL,6.80,189468.17,1102287.43,36,0.66,797,4,BUSINESS_EXPANSION,NO,1
APP_000057,27,SALARIED_GOVT,21.60,174355.70,1743391.82,60,0.45,848,0,EDUCATION,NO,0
APP_000058,46,SALARIED_GOVT,3.80,111930.84,1990199.00,60,0.16,751,0,BUSINESS_EXPANSION,NO,0
APP_000059,25,SELF_EMPLOYED_PROFESSIONAL,22.20,274976.84,900144.76,48,0.16,558,3,MEDICAL_EMERGENCY,NO,1
APP_000060,57,BUSINESS_OWNER,4.20,50315.46,1985006.25,24,0.18,565,1,DEBT_CONSOLIDATION,YES,1
APP_000061,61,CONTRACTUAL,0.90,226272.96,2411861.31,24,0.20,625,5,VEHICLE_PURCHASE,YES,1
APP_000062,62,SELF_EMPLOYED_PROFESSIONAL,1.50,316220.89,1088799.06,12,0.21,672,0,VEHICLE_PURCHASE,NO,0
APP_000063,43,SALARIED_GOVT,9.60,330568.98,406191.87,60,0.54,644,0,HOME_RENOVATION,NO,0
APP_000064,39,SALARIED_GOVT,4.20,205947.00,1891962.58,60,0.38,574,5,BUSINESS_EXPANSION,NO,1
APP_000065,36,SALARIED_GOVT,8.40,345483.69,65418.15,24,0.30,820,5,HOME_RENOVATION,NO,0
APP_000066,32,SALARIED_GOVT,16.40,193336.63,476137.17,24,0.69,779,5,DEBT_CONSOLIDATION,YES,1
APP_000067,57,SELF_EMPLOYED_PROFESSIONAL,12.50,133510.35,1673932.62,36,0.64,795,3,HOME_RENOVATION,NO,1
APP_000068,55,CONTRACTUAL,8.10,177429.74,1135717.33,120,0.60,646,4,VEHICLE_PURCHASE,NO,1
APP_000069,26,CONTRACTUAL,13.30,195119.68,1432241.89,48,0.72,649,2,EDUCATION,NO,1
APP_000070,48,SALARIED_GOVT,20.00,63016.91,550965.06,36,0.22,850,2,MEDICAL_EMERGENCY,NO,0
APP_000071,41,BUSINESS_OWNER,11.80,230086.00,249066.37,84,0.38,608,4,MEDICAL_EMERGENCY,NO,1
APP_000072,51,BUSINESS_OWNER,2.70,153151.89,2284990.07,36,0.75,575,5,HOME_RENOVATION,YES,1
APP_000073,22,SALARIED_GOVT,3.60,181125.04,2317403.85,36,0.63,784,1,MEDICAL_EMERGENCY,YES,1
APP_000074,30,CONTRACTUAL,12.80,252498.75,1554719.17,60,0.66,722,4,BUSINESS_EXPANSION,NO,1
APP_000075,36,SALARIED_MNC,9.60,294535.97,2340972.23,60,0.33,795,2,DEBT_CONSOLIDATION,YES,0
APP_000076,57,BUSINESS_OWNER,19.80,152511.73,582741.16,120,0.28,616,2,DEBT_CONSOLIDATION,NO,1
APP_000077,47,SALARIED_MNC,23.10,248344.60,1234869.58,48,0.26,713,0,VEHICLE_PURCHASE,YES,0
APP_000078,37,SELF_EMPLOYED_PROFESSIONAL,18.50,329473.62,2369402.06,12,0.53,666,1,MEDICAL_EMERGENCY,NO,0
APP_000079,25,SALARIED_GOVT,13.70,204794.82,2222701.20,48,0.18,614,4,EDUCATION,NO,1
APP_000080,23,SALARIED_GOVT,20.60,174084.64,700692.58,24,0.65,708,3,VEHICLE_PURCHASE,NO,1
APP_000081,33,SALARIED_GOVT,22.00,100437.29,812932.66,84,0.30,573,4,HOME_RENOVATION,YES,1
APP_000082,42,SALARIED_GOVT,22.50,51361.23,2024368.27,84,0.69,563,2,EDUCATION,YES,1
APP_000083,30,SELF_EMPLOYED_PROFESSIONAL,16.50,155029.02,183694.83,24,0.73,579,5,MEDICAL_EMERGENCY,NO,1
APP_000084,49,SALARIED_MNC,16.00,140402.79,1678373.43,120,0.31,719,1,MEDICAL_EMERGENCY,NO,0
APP_000085,42,BUSINESS_OWNER,17.70,108230.83,180086.37,48,0.20,846,4,BUSINESS_EXPANSION,YES,0
APP_000086,47,BUSINESS_OWNER,14.10,205912.70,2303515.02,84,0.21,827,5,DEBT_CONSOLIDATION,YES,0
APP_000087,41,SALARIED_MNC,14.50,206997.60,1546266.54,12,0.19,841,3,DEBT_CONSOLIDATION,YES,0
APP_000088,31,SALARIED_MNC,11.80,281077.86,2466179.12,84,0.34,742,3,MEDICAL_EMERGENCY,YES,0
APP_000089,29,SALARIED_MNC,18.60,235343.88,2413693.74,48,0.17,787,5,EDUCATION,NO,0
APP_000090,30,CONTRACTUAL,9.20,80790.67,2428739.35,24,0.67,688,3,VEHICLE_PURCHASE,YES,1
APP_000091,38,SALARIED_GOVT,23.10,310208.81,1884593.37,60,0.48,754,5,EDUCATION,YES,0
APP_000092,50,SALARIED_MNC,19.10,334766.55,124650.64,24,0.71,779,1,MEDICAL_EMERGENCY,YES,1
APP_000093,44,SALARIED_MNC,21.60,163296.50,1116454.08,84,0.44,623,4,HOME_RENOVATION,NO,1
APP_000094,34,SELF_EMPLOYED_PROFESSIONAL,14.60,66012.90,496754.23,36,0.12,804,2,VEHICLE_PURCHASE,NO,0
APP_000095,42,SALARIED_GOVT,12.10,44846.14,2182927.06,12,0.35,787,1,EDUCATION,YES,0
APP_000096,48,SALARIED_GOVT,22.90,56989.01,878874.89,84,0.66,640,2,EDUCATION,NO,1
APP_000097,33,SELF_EMPLOYED_PROFESSIONAL,8.50,83622.36,1951573.41,24,0.55,587,4,HOME_RENOVATION,NO,1
APP_000098,41,CONTRACTUAL,13.90,287155.29,96950.45,84,0.67,579,5,HOME_RENOVATION,NO,1
APP_000099,40,SALARIED_MNC,7.60,211853.09,1735946.69,24,0.49,721,5,BUSINESS_EXPANSION,NO,0
APP_000100,24,BUSINESS_OWNER,14.80,243056.60,2369154.38,84,0.24,674,3,DEBT_CONSOLIDATION,NO,0
APP_000101,35,SALARIED_GOVT,4.80,231688.87,202334.39,48,0.33,577,1,EDUCATION,YES,1
APP_000102,57,SALARIED_MNC,4.20,271419.63,364882.14,36,0.23,681,2,MEDICAL_EMERGENCY,YES,0
APP_000103,54,SALARIED_GOVT,7.80,25221.50,733990.64,84,0.61,634,3,BUSINESS_EXPANSION,NO,1
APP_000104,46,CONTRACTUAL,6.40,235880.45,1950499.65,36,0.53,701,3,MEDICAL_EMERGENCY,NO,0
APP_000105,43,SALARIED_GOVT,21.70,233327.99,1048791.84,48,0.20,768,1,EDUCATION,YES,0
APP_000106,46,SALARIED_MNC,1.70,317407.65,505154.67,48,0.50,841,5,DEBT_CONSOLIDATION,NO,0
APP_000107,33,CONTRACTUAL,4.40,127023.13,1259530.57,24,0.41,599,2,BUSINESS_EXPANSION,YES,1
APP_000108,50,SALARIED_MNC,11.40,290274.44,2267573.28,24,0.58,556,1,VEHICLE_PURCHASE,YES,1
APP_000109,34,BUSINESS_OWNER,16.20,31023.58,2079389.96,84,0.59,568,2,MEDICAL_EMERGENCY,YES,1
APP_000110,57,BUSINESS_OWNER,17.70,111766.00,513530.09,84,0.41,820,2,BUSINESS_EXPANSION,NO,0
APP_000111,21,SALARIED_MNC,5.60,238457.60,174576.55,36,0.41,770,5,MEDICAL_EMERGENCY,YES,0
APP_000112,29,CONTRACTUAL,17.50,95579.43,1017674.76,84,0.26,816,5,DEBT_CONSOLIDATION,YES,0
APP_000113,29,SALARIED_GOVT,7.30,210613.75,2312147.76,36,0.11,563,1,DEBT_CONSOLIDATION,NO,1
APP_000114,23,BUSINESS_OWNER,24.50,67556.88,2410147.76,120,0.38,620,2,EDUCATION,NO,1
APP_000115,28,SALARIED_MNC,2.60,38359.76,2144682.56,12,0.64,829,1,VEHICLE_PURCHASE,YES,1
APP_000116,57,SALARIED_MNC,2.90,99875.72,2304680.73,24,0.60,579,2,EDUCATION,YES,1
APP_000117,41,SELF_EMPLOYED_PROFESSIONAL,23.50,179969.46,1822745.52,36,0.22,694,0,EDUCATION,NO,0
APP_000118,47,CONTRACTUAL,17.70,122017.25,1868670.40,24,0.22,647,1,EDUCATION,YES,0
APP_000119,29,SELF_EMPLOYED_PROFESSIONAL,8.40,81752.45,1634454.67,120,0.21,812,3,EDUCATION,NO,0
APP_000120,38,SELF_EMPLOYED_PROFESSIONAL,10.90,38843.75,488787.06,48,0.45,849,1,BUSINESS_EXPANSION,NO,0
APP_000121,25,CONTRACTUAL,8.10,147868.74,2116026.08,60,0.39,568,2,MEDICAL_EMERGENCY,NO,1
APP_000122,31,CONTRACTUAL,14.20,142516.58,88000.34,24,0.47,787,3,BUSINESS_EXPANSION,NO,0
APP_000123,55,CONTRACTUAL,24.50,122430.44,1761202.78,36,0.33,673,4,VEHICLE_PURCHASE,YES,0
APP_000124,47,SALARIED_GOVT,19.10,278877.66,1690828.17,24,0.54,741,1,EDUCATION,NO,0
APP_000125,45,SALARIED_GOVT,23.40,72568.36,721153.64,36,0.54,585,3,VEHICLE_PURCHASE,YES,1
APP_000126,49,CONTRACTUAL,15.10,61167.09,1604406.33,84,0.50,810,2,HOME_RENOVATION,YES,0
APP_000127,50,BUSINESS_OWNER,8.00,127779.40,311493.69,12,0.49,660,4,DEBT_CONSOLIDATION,NO,0
APP_000128,57,SELF_EMPLOYED_PROFESSIONAL,19.50,106714.93,523706.12,60,0.25,765,5,HOME_RENOVATION,NO,0
APP_000129,50,CONTRACTUAL,23.20,349183.80,2488717.39,120,0.46,758,5,MEDICAL_EMERGENCY,NO,0
APP_000130,59,SELF_EMPLOYED_PROFESSIONAL,18.10,132422.95,657547.49,120,0.69,848,1,BUSINESS_EXPANSION,YES,1
APP_000131,41,CONTRACTUAL,19.80,117887.96,1309566.12,12,0.32,709,2,BUSINESS_EXPANSION,NO,0
APP_000132,33,SALARIED_MNC,22.20,343410.71,1258909.29,24,0.24,571,5,BUSINESS_EXPANSION,YES,1
APP_000133,42,BUSINESS_OWNER,22.00,168142.49,2293319.25,12,0.34,604,0,DEBT_CONSOLIDATION,YES,1
APP_000134,40,BUSINESS_OWNER,14.20,48109.26,195359.26,36,0.63,830,4,EDUCATION,YES,1
APP_000135,40,BUSINESS_OWNER,10.80,241051.08,1935753.84,120,0.67,661,1,DEBT_CONSOLIDATION,YES,1
APP_000136,42,CONTRACTUAL,14.10,191164.62,2231012.13,60,0.60,836,4,BUSINESS_EXPANSION,YES,1
APP_000137,58,CONTRACTUAL,3.10,40686.95,1583488.69,36,0.26,742,5,BUSINESS_EXPANSION,NO,0
APP_000138,39,CONTRACTUAL,3.90,286124.41,2383103.00,48,0.32,599,1,MEDICAL_EMERGENCY,YES,1
APP_000139,39,SELF_EMPLOYED_PROFESSIONAL,6.70,207825.15,520218.85,48,0.71,828,2,HOME_RENOVATION,YES,1
APP_000140,47,SALARIED_MNC,5.80,129511.18,94373.31,36,0.51,723,3,EDUCATION,YES,0
APP_000141,49,SALARIED_GOVT,12.60,199184.46,1914690.05,24,0.40,778,5,MEDICAL_EMERGENCY,NO,0
APP_000142,22,SELF_EMPLOYED_PROFESSIONAL,6.20,214669.08,2206721.13,48,0.23,806,5,DEBT_CONSOLIDATION,YES,0
APP_000143,55,SELF_EMPLOYED_PROFESSIONAL,5.60,304472.42,1596485.54,48,0.18,583,3,BUSINESS_EXPANSION,NO,1
APP_000144,24,SELF_EMPLOYED_PROFESSIONAL,19.30,29648.08,926397.62,48,0.45,815,0,HOME_RENOVATION,NO,1
APP_000145,58,SELF_EMPLOYED_PROFESSIONAL,20.40,26169.10,2294142.31,84,0.41,794,5,DEBT_CONSOLIDATION,YES,1
APP_000146,57,SELF_EMPLOYED_PROFESSIONAL,7.20,285984.84,749400.41,120,0.63,649,5,BUSINESS_EXPANSION,YES,1
APP_000147,59,BUSINESS_OWNER,18.40,259330.02,247245.55,84,0.24,823,0,DEBT_CONSOLIDATION,YES,0
APP_000148,42,SALARIED_MNC,16.70,262694.14,1100106.86,12,0.58,721,4,EDUCATION,YES,1
APP_000149,56,SALARIED_GOVT,15.60,128943.65,51564.07,24,0.17,611,3,BUSINESS_EXPANSION,YES,1
APP_000150,30,SALARIED_GOVT,13.40,101721.29,1584706.08,24,0.68,698,5,BUSINESS_EXPANSION,YES,1
APP_000151,40,BUSINESS_OWNER,14.40,228792.41,505967.10,60,0.69,823,3,HOME_RENOVATION,YES,1
APP_000152,59,SALARIED_MNC,15.40,203024.77,2184643.44,24,0.34,626,0,DEBT_CONSOLIDATION,NO,1
APP_000153,35,BUSINESS_OWNER,3.70,349543.84,1992490.66,36,0.21,550,5,DEBT_CONSOLIDATION,NO,1
APP_000154,60,SALARIED_GOVT,23.70,218166.65,1470430.18,120,0.31,805,0,EDUCATION,NO,0
APP_000155,41,SALARIED_GOVT,18.70,280020.18,505149.39,120,0.55,574,2,VEHICLE_PURCHASE,NO,1
APP_000156,27,SALARIED_MNC,23.60,256596.70,1245898.17,12,0.34,601,1,EDUCATION,YES,1
APP_000157,57,SALARIED_GOVT,12.60,45138.91,1640988.58,84,0.74,641,2,EDUCATION,NO,1
APP_000158,46,SALARIED_GOVT,10.30,297426.87,219649.02,84,0.62,840,3,DEBT_CONSOLIDATION,NO,1
APP_000159,29,SELF_EMPLOYED_PROFESSIONAL,9.60,84733.80,668079.72,48,0.30,633,3,HOME_RENOVATION,YES,1
APP_000160,58,SALARIED_GOVT,9.00,247585.58,604377.41,36,0.44,674,5,BUSINESS_EXPANSION,NO,0
APP_000161,35,SALARIED_GOVT,18.10,216170.05,562169.32,60,0.50,772,2,MEDICAL_EMERGENCY,YES,0
APP_000162,58,CONTRACTUAL,20.00,268261.65,1880601.85,84,0.64,774,1,VEHICLE_PURCHASE,NO,1
APP_000163,24,CONTRACTUAL,9.50,52228.56,798724.43,36,0.38,694,0,MEDICAL_EMERGENCY,YES,0
APP_000164,26,SELF_EMPLOYED_PROFESSIONAL,17.00,188918.52,128749.43,48,0.42,662,0,EDUCATION,NO,0
APP_000165,51,SALARIED_MNC,17.70,185879.11,1626820.34,60,0.57,665,0,MEDICAL_EMERGENCY,YES,1
APP_000166,44,BUSINESS_OWNER,15.60,188934.38,884640.91,24,0.23,625,4,BUSINESS_EXPANSION,NO,1
APP_000167,26,CONTRACTUAL,24.00,257015.95,2166353.95,120,0.24,645,0,MEDICAL_EMERGENCY,YES,0
APP_000168,32,CONTRACTUAL,13.20,182762.98,1933535.86,120,0.29,801,3,VEHICLE_PURCHASE,YES,0
APP_000169,50,BUSINESS_OWNER,9.50,89923.49,1457326.11,48,0.62,707,5,HOME_RENOVATION,YES,1
APP_000170,21,CONTRACTUAL,14.60,34613.72,1844653.44,60,0.24,663,3,HOME_RENOVATION,YES,1
APP_000171,60,SALARIED_MNC,22.20,115957.48,1430148.91,12,0.24,683,2,HOME_RENOVATION,NO,0
APP_000172,57,SELF_EMPLOYED_PROFESSIONAL,7.90,49624.86,1495060.23,48,0.27,830,1,VEHICLE_PURCHASE,YES,0
APP_000173,52,SALARIED_MNC,17.80,199127.97,409864.93,24,0.45,702,1,HOME_RENOVATION,YES,0
APP_000174,32,SALARIED_GOVT,1.80,228465.48,391732.49,24,0.42,773,0,DEBT_CONSOLIDATION,YES,0
APP_000175,59,BUSINESS_OWNER,3.40,264003.41,1647877.06,120,0.38,555,0,DEBT_CONSOLIDATION,YES,1
APP_000176,41,CONTRACTUAL,24.40,223400.61,985993.67,84,0.69,602,2,MEDICAL_EMERGENCY,YES,1
APP_000177,44,SALARIED_MNC,8.30,226322.03,1037949.69,84,0.42,839,3,VEHICLE_PURCHASE,YES,0
APP_000178,38,CONTRACTUAL,12.70,81267.49,2260151.41,24,0.41,778,3,EDUCATION,NO,0
APP_000179,59,SELF_EMPLOYED_PROFESSIONAL,15.20,119806.65,581294.61,60,0.40,826,4,MEDICAL_EMERGENCY,YES,0
APP_000180,62,BUSINESS_OWNER,21.40,53414.15,1264983.70,36,0.34,614,0,DEBT_CONSOLIDATION,YES,1
APP_000181,30,BUSINESS_OWNER,5.70,323548.33,959670.41,36,0.33,712,4,DEBT_CONSOLIDATION,YES,0
APP_000182,38,CONTRACTUAL,21.20,251796.08,178260.26,60,0.58,639,0,VEHICLE_PURCHASE,YES,1
APP_000183,39,SELF_EMPLOYED_PROFESSIONAL,12.40,328006.94,1479278.15,120,0.62,850,2,HOME_RENOVATION,YES,1
APP_000184,43,CONTRACTUAL,22.10,143321.90,431883.32,60,0.40,737,1,VEHICLE_PURCHASE,YES,0
APP_000185,27,BUSINESS_OWNER,4.10,152684.30,941803.74,120,0.42,748,5,DEBT_CONSOLIDATION,NO,0
APP_000186,37,SELF_EMPLOYED_PROFESSIONAL,15.10,183918.56,618372.18,60,0.17,847,3,DEBT_CONSOLIDATION,YES,0
APP_000187,25,SELF_EMPLOYED_PROFESSIONAL,21.50,286485.72,242794.33,120,0.71,598,0,VEHICLE_PURCHASE,YES,1
APP_000188,46,SALARIED_MNC,1.70,156720.34,105600.59,48,0.70,781,0,VEHICLE_PURCHASE,NO,1
APP_000189,41,CONTRACTUAL,18.20,45402.70,1687111.65,48,0.45,738,2,HOME_RENOVATION,YES,0
APP_000190,43,CONTRACTUAL,3.30,216772.15,921229.55,60,0.21,712,2,EDUCATION,NO,0
APP_000191,34,BUSINESS_OWNER,6.10,245438.90,2090461.52,60,0.41,795,3,VEHICLE_PURCHASE,YES,0
APP_000192,36,SALARIED_MNC,8.30,184918.30,2320000.95,84,0.41,591,3,HOME_RENOVATION,YES,1
APP_000193,34,SELF_EMPLOYED_PROFESSIONAL,17.10,167156.93,848406.32,12,0.60,758,5,HOME_RENOVATION,NO,1
APP_000194,44,SALARIED_GOVT,5.50,108218.00,432751.52,36,0.14,605,3,EDUCATION,YES,1
APP_000195,22,SALARIED_MNC,16.80,313840.36,1418976.94,24,0.49,598,3,EDUCATION,YES,1
APP_000196,51,SALARIED_GOVT,0.50,128117.46,1874362.88,48,0.66,569,3,HOME_RENOVATION,NO,1
APP_000197,61,CONTRACTUAL,8.40,344922.90,874311.02,12,0.57,671,2,VEHICLE_PURCHASE,NO,1
APP_000198,58,SELF_EMPLOYED_PROFESSIONAL,24.30,131940.30,679369.85,48,0.41,675,5,EDUCATION,NO,0
APP_000199,35,BUSINESS_OWNER,10.40,85859.84,1918917.44,84,0.38,698,1,VEHICLE_PURCHASE,NO,0
APP_000200,38,CONTRACTUAL,23.00,143472.71,2007698.04,84,0.62,778,1,HOME_RENOVATION,YES,1
APP_000201,58,SALARIED_MNC,24.40,26154.62,491804.00,84,0.55,818,2,HOME_RENOVATION,NO,0
APP_000202,30,BUSINESS_OWNER,21.20,218206.36,879100.89,36,0.42,647,4,BUSINESS_EXPANSION,YES,0
APP_000203,32,CONTRACTUAL,12.30,309552.17,2146151.08,12,0.14,678,2,HOME_RENOVATION,YES,0
APP_000204,41,SALARIED_MNC,24.70,54300.18,1196159.81,84,0.18,841,5,VEHICLE_PURCHASE,YES,0
APP_000205,21,SALARIED_MNC,24.20,333147.11,2185435.81,12,0.49,694,5,EDUCATION,YES,0
APP_000206,28,SALARIED_GOVT,17.90,309014.36,1245135.54,48,0.27,563,5,EDUCATION,NO,1
APP_000207,27,BUSINESS_OWNER,10.80,173579.18,2314411.94,60,0.67,813,5,BUSINESS_EXPANSION,YES,1
APP_000208,34,SALARIED_GOVT,7.50,234172.09,1028762.68,12,0.67,704,0,BUSINESS_EXPANSION,NO,1
APP_000209,22,SALARIED_GOVT,23.90,92168.40,1974707.89,12,0.13,804,1,VEHICLE_PURCHASE,NO,0
APP_000210,59,CONTRACTUAL,13.80,127985.09,2424052.58,24,0.15,678,5,BUSINESS_EXPANSION,YES,0
APP_000211,46,SALARIED_GOVT,13.00,312260.32,417570.12,12,0.44,676,0,EDUCATION,YES,0
APP_000212,47,CONTRACTUAL,17.10,333326.34,1320719.67,120,0.16,609,0,HOME_RENOVATION,NO,1
APP_000213,54,SALARIED_MNC,12.10,280276.21,133777.18,120,0.47,636,3,BUSINESS_EXPANSION,NO,1
APP_000214,24,CONTRACTUAL,4.30,345834.60,627796.68,84,0.58,830,5,MEDICAL_EMERGENCY,YES,1
APP_000215,35,BUSINESS_OWNER,10.60,319926.53,1902935.30,36,0.47,755,5,DEBT_CONSOLIDATION,YES,0
APP_000216,38,CONTRACTUAL,8.80,160139.36,804857.89,12,0.45,803,0,DEBT_CONSOLIDATION,NO,0
APP_000217,60,BUSINESS_OWNER,6.50,129179.26,2134224.60,60,0.17,596,1,EDUCATION,YES,1
