TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance
TX000026,AC00476,1023.00,12/27/2020,Debit,Tucson,D000425,173.232.121.213,M046,ATM,32,Student,51,1,116.94
TX000027,AC00483,351.21,10/4/2021,Debit,Virginia Beach,D000620,37.143.57.20,M085,Branch,77,Doctor,37,1,14911.65
TX000028,AC00472,176.17,8/4/2024 0:00,Credit,Nashville,D000370,100.4.40.132,M094,Online,76,Retired,107,1,2732.31
TX000029,AC00380,57.65,11/15/2023,Debit,Tucson,D000051,57.166.147.242,M074,ATM,60,Doctor,99,1,14579.95
TX000030,AC00370,7.37,4/18/2023,Debit,Washington,D000025,56.89.80.133,M073,ATM,67,Doctor,92,1,14870.12
TX000031,AC00439,718.67,6/29/2024,Credit,San Jose,D000399,55.154.161.250,M054,ATM,54,Retired,49,1,1099.69
TX000032,AC00363,160.98,7/18/2023,Debit,San Diego,D000109,70.130.169.235,M068,Branch,61,Doctor,112,1,13435.66
TX000033,AC00385,177.96,3/10/2023 16:40,Debit,Sacramento,D000058,152.140.239.181,M061,ATM,54,Engineer,115,1,11435.14
TX000034,AC00396,260.22,8/13/2021,Debit,Portland,D000112,219.219.117.136,M072,Branch,58,Engineer,113,1,11682.43
TX000035,AC00499,1664.40,5/2/2023 0:00,Debit,Washington,D000692,190.92.63.219,M031,ATM,31,Student,31,1,101.31
TX000036,AC00337,564.66,2/8/2023 18:18,Debit,Los Angeles,D000459,80.75.92.66,M060,Online,62,Engineer,151,1,8197.12
TX000037,AC00450,832.48,5/25/2023,Credit,Seattle,D000399,202.194.199.70,M052,ATM,40,Student,54,1,370.83
TX000038,AC00498,51.10,2/5/2024,Debit,Washington,D000610,57.166.147.242,M049,ATM,73,Student,13,1,11130.54
TX000039,AC00499,1789.55,1/7/2025,Debit,Washington,D000691,219.219.117.136,M011,ATM,25,Student,15,1,101.25
TX000040,AC00435,158.47,11/3/2020,Debit,Tucson,D000167,194.88.79.54,M070,ATM,50,Retired,85,1,9597.87
TX000041,AC00337,341.44,1/26/2024,Debit,Mesa,D000355,1.198.76.182,M055,Branch,71,Doctor,106,1,12502.36
TX000042,AC00393,380.67,9/21/2021 0:00,Debit,Raleigh,D000125,141.241.241.128,M071,ATM,50,Retired,112,1,7556.59
TX000043,AC00412,824.72,6/25/2024,Credit,Virginia Beach,D000424,21.190.11.223,M023,ATM,51,Retired,35,1,531.30
TX000044,AC00468,678.89,2/26/2022,Credit,Philadelphia,D000584,59.12.96.11,M076,Online,66,Student,92,1,285.89
TX000045,AC00435,433.50,8/13/2024,Debit,Virginia Beach,D000235,211.42.9.0,M025,ATM,43,Student,42,1,853.50
TX000046,AC00446,320.68,12/11/2023 16:53,Debit,Sacramento,D000206,59.132.247.252,M081,Branch,57,Engineer,93,1,11901.86
TX000047,AC00453,117.10,7/7/2023,Debit,Washington,D000096,41.82.55.163,M045,ATM,38,Student,40,1,3233.54
TX000048,AC00430,289.91,6/19/2023,Credit,Los Angeles,D000496,16.250.113.156,M089,Online,71,Retired,131,1,2454.75
TX000049,AC00497,1681.94,4/13/2022,Debit,Washington,D000691,200.136.146.93,M008,ATM,31,Student,17,1,101.26
TX000050,AC00363,66.47,12/27/2025,Debit,Tucson,D000050,186.54.68.246,M032,ATM,55,Engineer,80,1,10495.32
TX000051,AC00363,19.67,2/13/2024,Debit,Tucson,D000037,30.92.249.132,M068,ATM,66,Doctor,128,1,14537.95
TX000052,AC00401,336.67,12/25/2021 0:00,Credit,Los Angeles,D000369,175.230.206.232,M080,Online,61,Retired,145,1,4991.67
TX000053,AC00434,0.52,8/7/2024,Debit,Washington,D000010,177.172.184.163,M059,ATM,79,Doctor,15,1,14977.62
TX000054,AC00309,280.01,2/16/2022,Debit,New York,D000249,20.147.6.179,M054,Branch,59,Engineer,147,1,11277.41
TX000055,AC00498,89.05,9/2/2023,Credit,Philadelphia,D000596,165.35.58.173,M099,Online,77,Student,102,1,176.95
TX000056,AC00500,1637.64,2/1/2021,Debit,Washington,D000698,44.197.126.59,M025,ATM,48,Student,16,1,102.09
TX000057,AC00480,273.08,11/28/2024 0:00,Credit,Omaha,D000399,147.114.91.132,M092,Online,67,Student,104,1,1053.37
TX000058,AC00313,341.69,11/7/2022,Debit,Philadelphia,D000184,12.240.113.200,M061,Branch,51,Engineer,151,1,10382.83
TX000059,AC00429,294.21,6/8/2021,Credit,Las Vegas,D000476,214.125.131.88,M082,Online,74,Engineer,144,1,10322.82
TX000060,AC00488,1099.60,9/14/2020,Debit,Virginia Beach,D000668,175.230.206.232,M017,ATM,36,Student,39,1,102.81
TX000061,AC00433,5.87,6/26/2025,Debit,Washington,D000006,166.41.54.117,M074,ATM,63,Doctor,39,1,14922.00
TX000062,AC00371,439.61,4/13/2024,Credit,Memphis,D000382,44.73.3.217,M076,Online,59,Retired,154,1,5828.53
TX000063,AC00399,11.20,5/27/2021,Debit,Washington,D000090,173.232.121.213,M073,ATM,76,Doctor,29,1,14969.29
TX000064,AC00306,486.43,10/19/2023,Debit,Miami,D000344,7.105.184.86,M057,Branch,55,Engineer,151,1,8355.74
TX000065,AC00462,234.42,10/5/2024,Credit,Miami,D000334,109.211.212.135,M089,Online,65,Student,117,1,2689.11
TX000066,AC00411,686.82,9/6/2023 16:01,Debit,Portland,D000541,82.88.241.226,M071,Branch,54,Retired,105,1,7580.67
TX000067,AC00384,507.06,9/3/2025,Credit,Milwaukee,D000412,116.43.88.219,M076,Branch,58,Retired,125,1,3113.24
TX000068,AC00336,403.63,8/21/2021,Debit,San Jose,D000506,110.150.1.201,M036,Branch,71,Doctor,80,1,12661.05
TX000069,AC00410,455.42,10/11/2023,Credit,Nashville,D000423,92.214.76.157,M076,Branch,68,Retired,88,1,4388.09
TX000070,AC00346,112.38,10/18/2023 16:51,Debit,Raleigh,D000082,131.41.45.13,M049,ATM,60,Engineer,130,1,11684.16
TX000071,AC00378,504.90,3/5/2022,Credit,Memphis,D000363,112.222.0.29,M073,Branch,58,Retired,122,1,5612.39
TX000072,AC00354,56.47,12/11/2020,Debit,Tucson,D000056,93.170.203.44,M062,ATM,55,Doctor,103,1,13939.86
TX000073,AC00311,294.29,8/23/2021,Debit,Portland,D000144,115.218.48.83,M057,Branch,52,Engineer,149,1,10752.10
TX000074,AC00350,327.34,2/25/2022,Debit,San Diego,D000491,83.80.89.29,M074,Online,74,Doctor,96,1,14636.25
TX000075,AC00473,413.19,6/20/2023,Credit,Portland,D000505,200.13.225.150,M094,Online,76,Engineer,77,1,976.57
TX000076,AC00403,32.87,7/22/2022,Debit,Tucson,D000013,53.218.177.171,M067,ATM,55,Doctor,116,1,13789.28
TX000077,AC00418,398.86,3/28/2020,Credit,Memphis,D000365,152.140.239.181,M079,Online,63,Retired,114,1,4613.19
TX000078,AC00389,305.11,4/5/2021,Credit,Kansas City,D000424,82.88.241.226,M076,Online,69,Engineer,148,1,8526.35
TX000079,AC00454,602.51,5/29/2023,Debit,Washington,D000607,35.67.21.23,M014,ATM,52,Student,38,1,303.67
TX000080,AC00469,560.06,2/5/2023,Debit,Nashville,D000599,89.21.156.229,M079,Online,53,Student,138,1,779.66
TX000081,AC00491,699.08,9/14/2022,Debit,San Jose,D000587,158.129.49.240,M076,ATM,49,Student,64,1,1158.24
TX000082,AC00476,818.70,2/25/2021,Debit,Washington,D000610,10.191.172.154,M006,ATM,36,Student,26,1,106.06
TX000083,AC00402,344.17,11/11/2025,Credit,Los Angeles,D000370,146.69.70.214,M078,Online,67,Retired,116,1,6301.83
TX000084,AC00413,309.59,4/18/2024,Debit,Seattle,D000202,10.223.224.50,M041,ATM,41,Student,102,1,1595.20
TX000085,AC00446,206.52,10/11/2022,Credit,Indianapolis,D000565,35.73.67.98,M093,Online,78,Engineer,94,1,5952.63
TX000086,AC00466,413.14,10/25/2021,Credit,Nashville,D000523,145.179.219.57,M086,Online,59,Student,151,1,432.51
TX000087,AC00491,236.12,7/17/2024,Credit,Memphis,D000603,155.164.18.235,M098,Online,73,Student,144,1,449.95
TX000088,AC00465,1010.13,10/4/2021,Debit,Portland,D000634,40.192.99.27,M064,Online,65,Engineer,110,1,2839.78
TX000089,AC00352,214.49,1/31/2025,Debit,Phoenix,D000106,40.10.25.102,M059,ATM,56,Engineer,133,1,11437.57
TX000090,AC00396,5.60,4/5/2021,Debit,Washington,D000049,193.221.15.59,M078,ATM,79,Doctor,45,1,14975.85
TX000091,AC00420,4.63,5/24/2023,Debit,Washington,D000003,161.177.41.214,M083,ATM,62,Doctor,86,1,14883.47
TX000092,AC00487,612.23,2/28/2020,Debit,Virginia Beach,D000684,196.244.194.198,M021,ATM,65,Student,35,1,272.72
TX000093,AC00438,336.07,12/8/2023 16:45,Debit,Virginia Beach,D000646,168.55.199.214,M027,ATM,71,Retired,55,1,6936.04
TX000094,AC00392,512.32,1/15/2021,Credit,Oklahoma City,D000360,86.83.61.143,M077,Branch,59,Retired,108,1,6696.97
TX000095,AC00353,150.35,6/14/2022,Debit,Tucson,D000075,34.86.220.205,M042,ATM,45,Retired,77,1,7670.88
TX000096,AC00345,251.82,6/15/2021,Debit,Phoenix,D000273,214.125.131.88,M056,Branch,61,Doctor,129,1,12786.64
TX000097,AC00320,269.98,12/20/2024,Debit,Raleigh,D000114,200.22.195.243,M056,ATM,54,Engineer,141,1,11764.24
TX000098,AC00381,384.20,10/13/2021,Debit,Tucson,D000258,11.167.243.171,M024,ATM,42,Student,54,1,2536.79
TX000099,AC00400,124.02,2/19/2021,Debit,San Diego,D000036,100.4.40.132,M059,ATM,56,Engineer,115,1,11068.04
TX000100,AC00374,304.45,4/17/2020,Credit,Louisville,D000314,210.228.226.64,M077,Online,72,Engineer,100,1,10556.56
TX000101,AC00435,460.40,4/18/2024,Debit,Washington,D000414,52.50.209.49,M014,ATM,43,Student,38,1,290.43
TX000102,AC00459,445.28,8/23/2020,Debit,San Jose,D000667,54.252.249.33,M070,Online,77,Doctor,60,1,14683.11
TX000103,AC00347,201.80,4/26/2020,Debit,San Francisco,D000106,195.164.171.146,M048,ATM,49,Engineer,95,1,9989.79
TX000104,AC00443,958.16,5/15/2023,Debit,Seattle,D000542,81.102.230.41,M033,ATM,38,Student,51,1,181.05
TX000105,AC00494,833.22,9/15/2022,Credit,Tucson,D000574,150.25.200.56,M061,ATM,37,Student,57,1,103.18
TX000106,AC00357,229.92,6/3/2024 0:00,Debit,San Francisco,D000189,175.166.115.182,M068,ATM,47,Retired,126,1,9886.53
TX000107,AC00340,242.42,3/8/2025,Debit,Raleigh,D000089,115.241.186.164,M063,ATM,56,Engineer,138,1,11775.71
TX000108,AC00373,11.60,10/26/2022,Debit,Virginia Beach,D000010,213.15.9.253,M073,ATM,59,Doctor,114,1,14654.59
TX000109,AC00419,6.93,10/3/2022,Debit,Virginia Beach,D000005,200.136.146.93,M075,ATM,59,Doctor,91,1,14726.39
TX000110,AC00486,291.12,9/3/2021,Credit,Philadelphia,D000435,89.21.156.229,M094,Online,70,Student,100,1,519.72
TX000111,AC00381,21.36,12/17/2021,Debit,Virginia Beach,D000016,64.57.44.102,M056,ATM,48,Engineer,67,1,13512.44
TX000112,AC00454,324.17,2/14/2020,Credit,Philadelphia,D000120,165.114.224.47,M082,Branch,67,Retired,98,1,4993.72
TX000113,AC00455,766.91,6/23/2024,Debit,San Jose,D000347,219.98.242.240,M053,ATM,37,Student,53,1,939.50
TX000114,AC00459,579.25,12/24/2020,Credit,San Antonio,D000388,146.69.70.214,M078,Branch,62,Retired,60,1,895.78
TX000115,AC00332,513.54,11/17/2021,Debit,Philadelphia,D000295,18.72.115.111,M060,Branch,48,Retired,152,1,4254.20
TX000116,AC00419,42.43,1/8/2022,Debit,Virginia Beach,D000025,81.67.222.238,M040,ATM,48,Engineer,61,1,9952.24
TX000117,AC00499,166.63,3/13/2023,Credit,San Jose,D000516,192.95.36.246,M099,Online,61,Student,96,1,103.24
TX000118,AC00422,12.31,4/17/2020,Debit,Tucson,D000006,115.96.94.156,M071,ATM,60,Doctor,116,1,14367.69
TX000119,AC00494,314.37,8/16/2025,Credit,San Antonio,D000401,66.23.166.248,M096,Online,69,Student,97,1,174.28
TX000120,AC00402,343.63,1/19/2022,Credit,Louisville,D000384,219.98.242.240,M072,Online,72,Doctor,122,1,12001.25
TX000121,AC00463,296.80,1/31/2021,Credit,Houston,D000555,116.44.12.250,M090,Online,73,Retired,136,1,1340.20
TX000122,AC00382,201.99,3/13/2022,Debit,San Francisco,D000088,211.42.9.0,M060,ATM,47,Engineer,95,1,11834.00
TX000123,AC00490,687.82,10/2/2023 18:57,Debit,Virginia Beach,D000354,96.115.67.230,M068,ATM,36,Student,42,1,323.95
TX000124,AC00500,133.90,11/28/2020 0:00,Credit,Tucson,D000616,115.241.186.164,M100,Online,79,Student,54,1,102.75
TX000125,AC00480,416.77,2/1/2025,Credit,Portland,D000466,11.167.243.171,M091,Online,58,Student,107,1,226.39
TX000126,AC00459,635.87,9/5/2022,Credit,San Diego,D000370,101.90.40.193,M079,Branch,59,Student,60,1,877.11
TX000127,AC00420,27.03,5/21/2022,Debit,Washington,D000151,11.167.243.171,M064,ATM,71,Doctor,51,1,14801.82
TX000128,AC00397,5.89,8/8/2023,Debit,Washington,D000079,223.32.70.156,M010,ATM,76,Doctor,18,1,14764.75
TX000129,AC00468,2.69,5/3/2021,Debit,Washington,D000104,184.57.159.204,M037,ATM,79,Doctor,14,1,14971.58
TX000130,AC00496,146.74,6/4/2021,Debit,Washington,D000657,5.50.152.168,M028,ATM,70,Student,13,1,4317.78
TX000131,AC00496,377.09,9/5/2022,Debit,Washington,D000691,82.88.241.226,M070,Branch,78,Doctor,20,1,14453.33
TX000132,AC00499,1390.42,11/30/2024,Debit,Virginia Beach,D000684,26.240.219.199,M055,ATM,37,Student,40,1,102.18
TX000133,AC00377,24.18,10/8/2025,Debit,Virginia Beach,D000054,116.237.223.50,M041,ATM,68,Doctor,84,1,14322.11
TX000134,AC00421,553.33,1/12/2020,Credit,Nashville,D000400,11.188.75.155,M076,Branch,50,Student,138,1,1577.75
TX000135,AC00320,377.35,10/16/2021,Debit,Nashville,D000215,7.146.35.122,M052,Branch,56,Engineer,130,1,9830.16
TX000136,AC00385,84.23,4/20/2023,Debit,San Francisco,D000162,16.94.155.46,M070,Branch,77,Doctor,75,1,14886.78
TX000137,AC00348,104.42,4/3/2024,Debit,San Jose,D000159,146.69.70.214,M052,ATM,61,Engineer,129,1,13555.13
TX000138,AC00496,946.60,1/11/2024,Debit,Tucson,D000495,114.115.12.20,M079,ATM,35,Student,58,1,102.13
TX000139,AC00467,598.04,3/1/2025,Debit,Washington,D000610,77.7.223.184,M010,ATM,48,Student,26,1,169.29
TX000140,AC00361,218.35,7/6/2022,Debit,Portland,D000133,23.163.145.195,M064,Branch,64,Doctor,129,1,13115.21
TX000141,AC00362,196.35,8/16/2021,Debit,Oklahoma City,D000247,128.16.32.183,M056,Branch,65,Doctor,142,1,12656.50
TX000142,AC00496,185.86,1/9/2020,Credit,Sacramento,D000445,109.42.41.157,M098,Online,73,Student,86,1,223.89
TX000143,AC00404,842.11,1/18/2025,Debit,Seattle,D000601,17.87.7.140,M015,ATM,51,Student,53,1,486.39
TX000144,AC00336,150.29,12/29/2022,Debit,Portland,D000103,145.246.171.225,M056,ATM,58,Engineer,150,1,12021.78
TX000145,AC00323,347.36,12/9/2020,Debit,Portland,D000299,49.31.186.82,M059,Branch,63,Doctor,112,1,13007.41
TX000146,AC00464,1.63,6/10/2024,Debit,Washington,D000166,111.226.226.202,M068,ATM,80,Doctor,13,1,14977.87
TX000147,AC00442,191.84,7/27/2021,Debit,Washington,D000290,201.113.165.203,M025,ATM,43,Student,43,1,1177.03
TX000148,AC00467,462.96,4/30/2023 0:00,Credit,Phoenix,D000302,184.185.209.72,M086,Branch,60,Student,100,1,1146.29
TX000149,AC00394,565.11,7/27/2022 0:00,Debit,San Francisco,D000168,141.169.67.34,M051,ATM,47,Engineer,63,1,3981.88
TX000150,AC00500,586.26,4/30/2020,Debit,Raleigh,D000683,80.92.209.207,M096,Online,61,Student,113,1,106.64
TX000151,AC00436,273.81,10/23/2023,Credit,New York,D000202,167.104.180.235,M080,Branch,63,Retired,128,1,5708.13
TX000152,AC00476,156.81,8/1/2020,Credit,Mesa,D000475,57.232.212.116,M095,Online,71,Student,155,1,1164.62
TX000153,AC00372,13.99,10/21/2024,Debit,Tucson,D000060,34.169.232.37,M063,ATM,74,Doctor,108,1,14856.37
TX000154,AC00448,110.70,4/1/2023,Debit,Virginia Beach,D000240,158.129.49.240,M073,ATM,58,Engineer,63,1,13873.28
TX000155,AC00491,718.60,7/14/2022,Debit,Seattle,D000606,41.110.46.150,M078,ATM,55,Student,48,1,6124.67
TX000156,AC00494,806.52,11/22/2021,Debit,Washington,D000669,84.237.126.96,M041,ATM,57,Student,16,1,499.15
TX000157,AC00288,630.11,11/6/2022,Credit,Oklahoma City,D000347,174.61.77.54,M048,Branch,64,Engineer,103,1,8083.46
TX000158,AC00499,234.44,10/8/2025,Credit,Portland,D000573,86.103.2.29,M097,Online,49,Student,153,1,104.56
TX000159,AC00462,4.07,1/27/2025,Debit,Washington,D000042,221.206.44.63,M068,ATM,77,Doctor,17,1,14974.38
TX000160,AC00463,905.48,3/27/2020,Credit,Philadelphia,D000657,70.130.169.235,M072,Online,77,Doctor,85,1,7986.83
TX000161,AC00443,153.62,3/14/2024,Debit,Tucson,D000036,165.143.173.165,M065,ATM,41,Retired,85,1,5363.16
TX000162,AC00339,465.64,8/30/2022 0:00,Credit,Memphis,D000445,146.69.70.214,M079,Online,75,Doctor,92,1,9358.70
TX000163,AC00493,1.51,1/1/2025,Debit,Washington,D000034,216.32.4.105,M043,ATM,69,Retired,12,1,14826.94
TX000164,AC00386,741.47,11/14/2025,Debit,Phoenix,D000485,64.89.183.39,M059,Branch,49,Student,119,1,2291.86
TX000165,AC00421,141.31,4/16/2020,Debit,Washington,D000165,49.31.186.82,M025,ATM,48,Student,47,1,2884.79
TX000166,AC00481,914.16,6/5/2022,Credit,Washington,D000382,200.136.146.93,M044,ATM,35,Student,22,1,120.02
TX000167,AC00436,77.92,11/26/2023,Debit,Virginia Beach,D000105,71.93.189.160,M080,ATM,60,Doctor,73,1,14547.54
TX000168,AC00437,511.01,9/5/2020,Debit,Virginia Beach,D000281,80.90.35.146,M034,ATM,36,Student,54,1,524.37
TX000169,AC00379,71.20,2/20/2025,Debit,San Francisco,D000028,4.134.78.167,M064,ATM,56,Doctor,132,1,13323.45
TX000170,AC00390,183.21,10/2/2023,Debit,Philadelphia,D000096,41.110.46.150,M067,ATM,62,Engineer,122,1,11790.41
TX000171,AC00481,1132.11,10/29/2021,Debit,Tucson,D000628,45.241.13.208,M037,ATM,37,Student,50,1,198.93
TX000172,AC00495,706.70,7/6/2024,Credit,San Francisco,D000471,147.227.81.224,M085,ATM,32,Student,81,1,111.28
TX000173,AC00416,380.09,7/5/2023,Credit,Milwaukee,D000379,201.95.180.152,M086,Online,70,Retired,113,1,4141.70
TX000174,AC00470,718.92,12/31/2024,Credit,San Antonio,D000396,190.164.160.79,M074,ATM,43,Student,78,1,304.90
TX000175,AC00497,1027.62,10/20/2022,Credit,San Francisco,D000684,3.77.114.6,M087,Online,66,Student,66,1,102.23
TX000176,AC00498,85.81,3/31/2024,Credit,Philadelphia,D000551,204.120.80.105,M099,Online,78,Student,130,1,197.59
TX000177,AC00461,1152.52,11/6/2024,Debit,Seattle,D000571,200.22.195.243,M051,ATM,55,Retired,58,1,1255.38
TX000178,AC00480,96.69,10/29/2023,Debit,Washington,D000436,89.18.54.235,M005,ATM,55,Student,12,1,345.72
TX000179,AC00481,575.19,11/13/2022,Credit,Portland,D000586,48.89.167.189,M084,Online,61,Student,86,1,182.18
TX000180,AC00442,270.65,3/11/2023,Credit,Mesa,D000340,68.254.244.208,M086,Online,66,Retired,131,1,3558.08
TX000181,AC00500,74.03,11/9/2020,Debit,Washington,D000699,133.223.159.151,M051,ATM,80,Doctor,10,1,14956.67
TX000182,AC00421,4.11,7/3/2023 17:56,Debit,Washington,D000008,130.29.230.16,M083,ATM,73,Doctor,57,1,14958.76
TX000183,AC00410,16.12,1/20/2024,Debit,Washington,D000062,145.246.171.225,M081,ATM,67,Doctor,51,1,14878.65
TX000184,AC00402,38.74,12/27/2024,Debit,Virginia Beach,D000075,196.244.194.198,M065,ATM,58,Engineer,88,1,14309.26
TX000185,AC00359,426.74,6/23/2024,Debit,Nashville,D000422,195.226.203.234,M061,Branch,64,Doctor,118,1,12264.37
TX000186,AC00477,63.16,11/28/2023,Debit,Washington,D000534,200.13.225.150,M048,ATM,73,Engineer,25,1,14090.34
TX000187,AC00469,329.28,1/23/2024,Credit,Nashville,D000469,197.23.128.119,M092,Online,70,Retired,103,1,1276.29
TX000188,AC00447,217.54,5/18/2021,Credit,Kansas City,D000478,196.244.194.198,M091,Online,74,Retired,122,1,4172.87
TX000189,AC00496,1268.29,12/10/2023,Credit,Washington,D000669,50.202.8.53,M055,ATM,54,Student,17,1,101.50
TX000190,AC00375,140.37,5/21/2025 0:00,Debit,Seattle,D000221,13.30.106.126,M069,ATM,59,Doctor,92,1,13960.23
TX000191,AC00411,695.74,5/28/2022,Debit,Oklahoma City,D000544,138.210.196.19,M046,Branch,52,Student,120,1,1142.89
TX000192,AC00393,284.40,10/10/2020,Credit,Memphis,D000274,3.77.114.6,M077,Branch,67,Retired,118,1,7948.69
TX000193,AC00397,62.51,1/26/2021,Debit,Seattle,D000025,60.89.202.192,M067,ATM,53,Doctor,102,1,13623.75
TX000194,AC00439,33.37,6/26/2025,Debit,Washington,D000597,149.84.108.18,M039,ATM,79,Doctor,23,1,14941.08
TX000195,AC00408,386.02,4/29/2025,Credit,Mesa,D000335,173.232.121.213,M077,Branch,61,Retired,132,1,4771.85
TX000196,AC00458,1248.10,3/22/2024,Debit,Virginia Beach,D000636,100.4.40.132,M022,ATM,41,Student,43,1,150.17
TX000197,AC00391,234.79,2/11/2024,Debit,Raleigh,D000063,202.194.199.70,M067,ATM,52,Engineer,126,1,10663.47
TX000198,AC00335,504.21,10/29/2020 0:00,Debit,Phoenix,D000393,98.255.160.110,M050,Branch,59,Retired,90,1,8525.38
TX000199,AC00460,138.94,1/17/2021,Debit,Virginia Beach,D000653,28.149.72.129,M073,Online,79,Doctor,30,1,14963.39
TX000200,AC00338,448.44,11/2/2025,Debit,New York,D000276,180.224.54.115,M067,Branch,52,Retired,133,1,7860.54
TX000201,AC00460,172.30,12/11/2021,Debit,Virginia Beach,D000429,137.33.78.168,M072,ATM,59,Engineer,59,1,13600.80
TX000202,AC00499,547.24,10/22/2025,Debit,Washington,D000698,193.217.248.188,M043,Branch,72,Student,18,1,553.41
TX000203,AC00465,1395.34,5/16/2022,Debit,Washington,D000596,36.13.239.172,M008,ATM,43,Student,18,1,115.76
TX000204,AC00384,49.94,12/1/2024,Debit,Virginia Beach,D000113,77.7.223.184,M051,ATM,66,Engineer,74,1,13960.50
TX000205,AC00494,78.39,2/20/2021,Credit,New York,D000579,40.10.25.102,M099,Online,79,Retired,65,1,686.76
TX000206,AC00425,434.42,4/6/2023,Credit,Memphis,D000551,119.43.28.203,M083,Online,74,Doctor,139,1,8387.17
TX000207,AC00453,645.33,6/5/2023,Credit,Omaha,D000423,134.140.85.231,M073,Branch,46,Student,115,1,439.14
TX000208,AC00384,186.79,7/5/2025,Debit,San Jose,D000397,214.67.148.245,M045,ATM,68,Engineer,106,1,13501.82
TX000209,AC00493,232.90,4/24/2021,Credit,San Antonio,D000556,44.67.137.125,M098,Online,79,Engineer,51,1,322.74
TX000210,AC00354,51.74,10/13/2023,Debit,Virginia Beach,D000089,47.167.178.158,M014,ATM,66,Engineer,57,1,12448.18
TX000211,AC00483,640.94,8/28/2020,Credit,San Jose,D000481,93.115.61.201,M089,Online,70,Retired,53,1,188.13
TX000212,AC00420,291.18,2/9/2022,Credit,Louisville,D000454,26.105.49.129,M088,Online,75,Engineer,109,1,5520.06
TX000213,AC00340,844.17,8/28/2025,Debit,Sacramento,D000469,198.24.183.157,M053,Branch,50,Retired,114,1,3542.56
TX000214,AC00465,564.02,1/15/2022,Credit,San Francisco,D000433,221.206.44.63,M076,ATM,59,Student,46,1,729.47
