date,description,debit,credit,balance,isSuspicious
01-05-2023,CRYPTOEXCHANGEWAZIRX,37684.43,0.00,4274186.00,1
10-03-2023,NETTXN:PAYBILL432109,509811.88,0.00,13206676.00,0
15-02-2023,CRYPTOEXCHANGEWAZIRX,211287.81,0.00,17130478.00,0
15-12-2024,CRYPTOEXCHANGEBINANCE,473280.75,0.00,13972401.00,0
12-04-2023,NETTXN:DARVEYS,30485.32,0.00,18547338.00,0
14-03-2023,NETTXN:AMAZON,617252.44,0.00,13458125.00,0
14-03-2023,CRYPTOEXCHANGEWAZIRX,634787.62,0.00,8096197.00,1
03-03-2023,PCA:5001234567:675849302948301:MUTUALFUNDS,431739.25,0.00,10917251.00,0
17-02-2023,NETTXN:AMAZON,167962.66,0.00,15508723.00,0
11-04-2023,NETTXN:Aug21Sal234TANGOEINDIA,0.00,559276.81,6815840.00,1
24-02-2023,NETTXN:TICKETBOOKINGYATRA,598444.62,0.00,5700487.50,1
08-03-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,4910.49,0.00,15657596.00,0
24-04-2024,NETTXN:TICKETBOOKINGAIRINDIA,611442.75,0.00,5396342.00,1
26-01-2023,NETTXN:AMAZON,35633.62,0.00,18624356.00,0
08-12-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),392876.91,0.00,16848940.00,0
08-02-2023,PCA:5001234567:123456789012345:AMAZON,622776.94,0.00,12274342.00,0
17-03-2023,NETTXN:PAYBILL123456,40848.27,0.00,15137233.00,0
03-11-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),333786.03,0.00,13424678.00,0
19-02-2024,NETTXN:TICKETBOOKINGYATRA,60060.90,0.00,6726215.50,1
01-01-2024,NETTXN:EBAY,30001.13,0.00,17271038.00,0
26-05-2024,NETTXN:farfetch,421056.91,0.00,16226967.00,0
17-03-2023,NETTXN:PAYBILL987654,742530.31,0.00,13231043.00,0
09-04-2023,NETTXN:TICKETBOOKINGYATRA,58910.78,0.00,15016988.00,0
08-03-2023,PCA:5001234567:1234567891234:LOCALSHOP,581026.44,0.00,15981558.00,0
12-03-2023,IMPS/NA/XXX5678/RRN:987654321098/MOBTXN,0.00,762756.38,7473578.00,1
01-12-2023,REVOFNETTXN:1234567890,0.00,491163.00,5061148.00,1
17-08-2024,REFUNDOF:ZOMATO,765512.31,0.00,9274380.00,0
11-03-2023,PCA:5001234567:1234567891234:LOCALSHOP,557409.75,0.00,5410774.00,1
22-04-2023,CRYPTOEXCHANGECOINBASE,656159.06,0.00,7475614.50,1
22-06-2023,PCA:5001234567:098765432109876:FLIPKART,716551.19,0.00,4925522.50,1
26-04-2023,NETTXN:TICKETBOOKINGAIRINDIA,288338.16,0.00,6272977.50,1
26-03-2023,PCA:5001234567:345123987012345:DOMINOS,585016.25,0.00,5177044.50,1
13-12-2023,PCA:5001234567:765432109876543:ZOMATO,7136.89,0.00,16386423.00,0
09-03-2023,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,115884.88,0.00,17125736.00,0
26-03-2023,PCA:5001234567:123456789012345:AMAZON,740803.69,0.00,9635928.00,0
31-03-2023,NETTXN:TICKETBOOKINGYATRA,37123.99,0.00,17171196.00,0
27-03-2023,CRYPTOEXCHANGECOINBASE,6857.30,0.00,16449178.00,0
08-03-2023,PCA:5001234567:1234567891234:LOCALSHOP,69407.31,0.00,17242288.00,0
18-01-2024,IMPS/NA/XXX5678/RRN:987654321098/MOBTXN,0.00,679370.25,10129098.00,0
23-07-2024,NETTXN:TICKETBOOKINGINDIGO,7748.18,0.00,17225218.00,0
01-03-2023,NETTXN:AMAZON,481780.25,0.00,12413719.00,0
15-02-2023,NETTXN:EBAY,806638.19,0.00,8245908.00,1
09-03-2023,IMPS/NA/XXX5678,841808.38,0.00,6246987.50,1
15-01-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,1055.72,0.00,18628608.00,0
20-03-2023,CRYPTOEXCHANGECOINBASE,792102.88,0.00,5614105.00,1
04-06-2023,NETTXN:tatacliq,51263.36,0.00,15608442.00,0
08-07-2023,IMPS/NA/XXX5678,647553.69,0.00,5597054.50,1
19-03-2023,NETTXN:EBAY,527697.88,0.00,10497825.00,0
15-01-2024,NETTXN:TICKETBOOKINGINDIGO,4947.95,0.00,19578482.00,0
27-03-2023,EMItowardsLoanNo00234567,660531.88,0.00,6617538.50,1
16-03-2023,IMPS/NA/XXX5678/RRN:123456789012/MOBTXN,0.00,547439.69,5297241.00,1
16-02-2024,CRYPTOEXCHANGEBINANCE,374404.56,0.00,3897344.25,1
21-10-2023,CRYPTOEXCHANGEWAZIRX,548520.38,0.00,15137156.00,0
12-09-2024,NETTXN:TICKETBOOKINGYATRA,13185.34,0.00,17462622.00,0
18-11-2024,PCA:5001234567:098765432109876:FLIPKART,626287.94,0.00,7495796.00,0
19-10-2023,NETTXN:AMAZON,635344.62,0.00,10092024.00,0
25-08-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),626005.00,0.00,6408786.00,1
01-03-2023,NETTXN:EBAY,615406.12,0.00,4847406.00,1
03-04-2023,NETTXN:AJIOLUXE,0.00,679065.25,6503770.00,1
17-03-2023,NETTXN:AJIOLUXE,0.00,123549.65,15190999.00,0
02-03-2023,NETTXN:AMAZON,81674.21,0.00,10969961.00,0
12-03-2023,FundsTransfertoXX8765/CC001002010987654/MOBTXN,697928.94,0.00,4900973.00,1
21-09-2024,EMItowardsLoanNo00234567,107008.88,0.00,9862531.00,0
02-07-2023,CRYPTOEXCHANGEBINANCE,596088.12,0.00,9506725.00,0
19-02-2023,ATMWithdrawal,527440.38,0.00,12703021.00,0
07-02-2023,IMPS/NA/XXX5678/RRN:123400567890/MOBTXN,700382.19,0.00,8472192.00,0
05-04-2024,REVOFNETTXN:1234567890,0.00,753017.69,9586391.00,0
11-03-2023,CRYPTOEXCHANGEBINANCE,658811.81,0.00,12269475.00,0
08-02-2023,PCA:5001234567:1234567891234:LOCALSHOP,674964.31,0.00,12223214.00,0
06-04-2023,NETTXN:Aug21Sal234TANGOEINDIA,219656.69,0.00,13600812.00,0
08-03-2023,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,0.00,405174.91,14258532.00,0
21-02-2023,NETTXN:farfetch,585995.50,0.00,5690495.50,1
15-09-2023,CRYPTOEXCHANGEBINANCE,680792.50,0.00,6577968.50,1
07-07-2023,PCA:5001234567:345123987012345:DOMINOS,183438.12,0.00,16022989.00,0
25-08-2023,NETTXN:TICKETBOOKINGYATRA,522368.72,0.00,14000055.00,0
08-12-2024,NETTXN:EBAY,183582.23,0.00,16630415.00,0
26-07-2023,PCA:5001234567:1234567891234:LOCALSHOP,92085.10,0.00,10992973.00,0
13-03-2023,CRYPTOEXCHANGEBINANCE,161928.61,0.00,4166471.25,1
27-04-2023,NETTXN:PAYBILL987654,134412.48,0.00,12264995.00,0
24-03-2023,CASHDEPOSIT,90464.36,0.00,15975144.00,0
03-08-2024,PCA:5001234567:123456789012345:AMAZON,512460.97,0.00,4481847.00,1
23-07-2023,NETTXN:farfetch,278565.06,0.00,7093145.50,1
24-10-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,583011.56,0.00,6047568.00,1
31-07-2023,CRYPTOEXCHANGEWAZIRX,756074.75,0.00,5714490.00,1
11-09-2024,IMPS/NA/XXX5678/RRN:987654321098/MOBTXN,0.00,730377.81,7522778.00,1
17-02-2023,CASHDEPOSIT,24322.77,0.00,12358470.00,0
15-07-2023,NETTXN:Aug21Sal234TANGOEINDIA,650590.50,0.00,5648224.00,1
24-10-2023,PCA:5001234567:1234567891234:LOCALSHOP,44768.35,0.00,15975732.00,0
03-04-2024,NETTXN:FLIPKART,597243.06,0.00,4992857.00,1
16-03-2023,CRYPTOEXCHANGECOINBASE,672196.19,0.00,10449918.00,0
17-03-2023,NETTXN:TICKETBOOKINGINDIGO,457412.53,0.00,3736752.25,1
03-04-2023,ATMWithdrawal,100498.66,0.00,13354412.00,0
26-02-2023,NETTXN:EBAY,235055.98,0.00,17560248.00,0
01-01-2024,PCA:5001234567:123456789012345:AMAZON,571884.44,0.00,4673780.50,1
01-04-2024,PCA:5001234567:098765432109876:FLIPKART,709794.94,0.00,3890155.50,1
08-11-2023,CRYPTOEXCHANGEBINANCE,100952.58,0.00,16666721.00,0
28-02-2023,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,0.00,504142.81,12373313.00,0
22-05-2023,CRYPTOEXCHANGEWAZIRX,623564.75,0.00,11202117.00,0
14-03-2023,IMPS/RAHULKUMAR/XXX5679/RRN:123456789012,790646.00,0.00,4466460.50,1
19-03-2023,FundsTransfertoXX8765/CC001002010123456/MOBTXN,0.00,503240.19,5742327.00,1
15-03-2023,NETTXN:EBAY,781082.56,0.00,5655748.50,1
04-02-2024,CRYPTOEXCHANGEBINANCE,82038.47,0.00,13869140.00,0
26-05-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),40757.16,0.00,17877372.00,0
01-02-2024,NETTXN:TICKETBOOKINGMAKEMYTRIP,397825.97,0.00,13855256.00,0
13-02-2023,CRYPTOEXCHANGECOINBASE,369014.09,0.00,12160794.00,0
12-03-2023,NETTXN:AMAZON,48372.80,0.00,14015601.00,0
16-10-2024,NETTXN:PAYBILL987654,569146.62,0.00,4835300.50,1
22-05-2024,ATMWithdrawal,94400.40,0.00,11766995.00,0
11-02-2023,CRYPTOEXCHANGEBINANCE,552052.25,0.00,15305453.00,0
12-04-2023,CRYPTOEXCHANGEBINANCE,664343.62,0.00,6581997.50,1
18-12-2024,FundsTransfertoXX8765/CC001002010987654/MOBTXN,249492.72,0.00,14840177.00,0
15-01-2024,NETTXN:TICKETBOOKINGAIRINDIA,24211.38,0.00,14299373.00,0
27-03-2023,NETTXN:CASHDEPOSIT,0.00,725026.06,7355690.00,1
23-06-2024,IMPS/RAHULKUMAR/XXX5679/RRN:123456789012,0.00,636444.69,10288808.00,0
19-03-2023,IMPS/NA/XXX5678/RRN:987654321098/MOBTXN,760034.75,0.00,6031645.00,1
22-02-2023,FundsTransfertoXX8765/CC001002010987654/MOBTXN,0.00,556495.31,5216738.00,1
17-04-2023,PCA:5001234567:675849302948301:MUTUALFUNDS,72988.20,0.00,12813555.00,0
01-03-2023,FundsTransfertoXX8765/CC001002010987654/MOBTXN,480607.75,0.00,16351532.00,0
11-07-2024,CRYPTOEXCHANGECOINBASE,26029.11,0.00,17679744.00,0
09-09-2023,IMPS/RAHULKUMAR/XXX5679/RRN:123456789012,480498.31,0.00,12935685.00,0
16-04-2023,NETTXN:TICKETBOOKINGAIRINDIA,628719.75,0.00,11139670.00,0
11-04-2023,NETTXN:PAYBILL432109,130371.76,0.00,13836099.00,0
14-03-2024,PCA:5001234567:675849302948301:MUTUALFUNDS,841477.81,0.00,5409291.00,1
06-04-2023,NETTXN:TICKETBOOKINGAIRINDIA,722797.62,0.00,10753210.00,0
03-04-2023,NETTXN:DARVEYS,579966.31,0.00,11959469.00,0
18-03-2023,PCA:5001234567:450987650123456:EBAY,670126.62,0.00,10521837.00,0
20-03-2023,NETTXN:PAYBILL123456,19994.98,0.00,12836221.00,0
16-04-2023,IMPS/NA/XXX5678/RRN:123456789012/MOBTXN,0.00,436531.00,4298017.00,1
30-08-2024,NETTXN:TICKETBOOKINGINDIGO,391325.47,0.00,2341028.75,1
24-03-2023,FundsTransfertoXX8765/CC001002010987654/MOBTXN,0.00,540088.19,4781353.00,1
19-04-2023,NETTXN:TICKETBOOKINGAIRINDIA,750642.56,0.00,11901152.00,0
03-02-2023,NETTXN:AMAZON,629646.69,0.00,10445106.00,0
10-05-2023,FundsTransfertoXX8765/CC001002010123456/MOBTXN,0.00,260501.16,16471489.00,0
04-04-2023,NETTXN:TICKETBOOKINGINDIGO,746777.81,0.00,8517562.00,0
22-06-2023,PCA:5001234567:1234567891234:LOCALSHOP,743752.06,0.00,9987674.00,0
17-10-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),740885.06,0.00,10554825.00,0
27-03-2023,NETTXN:TICKETBOOKINGINDIGO,491569.88,0.00,11356877.00,0
01-04-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,628969.00,0.00,2409033.25,1
01-03-2024,REFUNDOF:ZOMATO,0.00,562416.88,15232733.00,0
03-03-2024,REVOFNETTXN:1234567890,0.00,637764.06,12905530.00,0
23-10-2023,PCA:5001234567:345123987012345:DOMINOS,554196.94,0.00,5826676.00,1
08-07-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,93969.34,0.00,15813340.00,0
03-04-2023,PCA:5001234567:1234567891234:LOCALSHOP,35154.70,0.00,17665356.00,0
10-12-2024,IMPS/NA/XXX5678/RRN:987654321098/MOBTXN,0.00,495086.53,4245235.00,1
12-10-2024,CRYPTOEXCHANGEBINANCE,597727.25,0.00,11927756.00,0
06-04-2023,NETTXN:AJIOLUXE,0.00,1833.85,18885008.00,0
27-07-2024,EMItowardsLoanNo00234567,213288.45,0.00,15974804.00,0
12-02-2023,NETTXN:EBAY,635873.00,0.00,10009050.00,0
29-03-2023,NETTXN:TICKETBOOKINGINDIGO,73687.70,0.00,16236929.00,0
18-11-2023,NETTXN:tatacliq,0.00,763939.25,8241549.00,1
13-03-2023,EMItowardsLoanNo00234567,226782.98,0.00,18041764.00,0
29-06-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,733337.06,0.00,4441195.00,1
08-08-2024,NETTXN:TICKETBOOKINGMAKEMYTRIP,377505.53,0.00,8395932.00,0
25-06-2024,NETTXN:farfetch,606007.56,0.00,5517630.50,1
20-03-2023,NETTXN:EBAY,9327.01,0.00,15078691.00,0
02-05-2023,NETTXN:farfetch,322875.16,0.00,7326580.00,1
10-03-2023,NETTXN:PAYBILL987654,789091.69,0.00,2583638.25,1
11-03-2023,CRYPTOEXCHANGEWAZIRX,680986.62,0.00,10079111.00,0
22-03-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,738410.38,0.00,5773134.50,1
26-02-2023,FundsTransfertoXX8765/CC001002010987654/MOBTXN,0.00,527884.56,12167270.00,0
06-01-2024,NETTXN:TICKETBOOKINGMAKEMYTRIP,647409.19,0.00,6162421.00,1
11-03-2023,CRYPTOEXCHANGEWAZIRX,52894.35,0.00,9829339.00,0
19-12-2023,NETTXN:TICKETBOOKINGYATRA,694841.19,0.00,6241837.00,1
19-04-2023,NETTXN:DARVEYS,745932.75,0.00,4827526.50,1
22-12-2024,IMPS/NA/XXX5678/RRN:987654321098/MOBTXN,0.00,614292.12,13643913.00,0
27-12-2023,CRYPTOEXCHANGECOINBASE,659521.81,0.00,7742886.00,0
02-05-2024,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,0.00,573807.44,5122535.50,1
29-03-2023,EMItowardsLoanNo00234567,408073.19,0.00,10849786.00,0
26-07-2023,ATMWithdrawal,623305.25,0.00,9164147.00,0
14-03-2023,NETTXN:Aug21Sal234TANGOEINDIA,0.00,397158.81,2360409.25,1
25-03-2024,ATMWithdrawal,456356.28,0.00,14473324.00,0
14-02-2023,PCA:5001234567:345123987012345:DOMINOS,81867.17,0.00,15204938.00,0
12-08-2024,NETTXN:Aug21Sal234TANGOEINDIA,0.00,46811.46,15927776.00,0
23-12-2023,NETTXN:TICKETBOOKINGYATRA,379686.25,0.00,14867432.00,0
21-02-2023,NETTXN:FLIPKART,768788.38,0.00,4715228.00,1
20-08-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,326131.81,0.00,5640668.00,1
07-04-2023,CRYPTOEXCHANGEWAZIRX,219742.98,0.00,5952393.00,1
06-04-2024,NETTXN:TICKETBOOKINGAIRINDIA,500203.91,0.00,15810552.00,0
10-04-2023,IMPS/NA/XXX5678/RRN:123400567890/MOBTXN,717924.81,0.00,7333580.00,0
28-12-2023,NETTXN:Aug21Sal234TANGOEINDIA,0.00,640293.81,14947423.00,0
31-10-2024,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,0.00,57423.01,11316607.00,0
18-07-2023,CRYPTOEXCHANGEBINANCE,543479.25,0.00,13877073.00,0
17-02-2024,PCA:5001234567:1234567891234:LOCALSHOP,866273.69,0.00,2328661.00,1
23-02-2023,NETTXN:Aug21Sal234TANGOEINDIA,0.00,373711.91,6267806.50,1
27-03-2023,CRYPTOEXCHANGECOINBASE,695446.56,0.00,6702498.50,1
06-04-2024,CRYPTOEXCHANGEWAZIRX,533790.69,0.00,12886332.00,0
12-02-2024,CRYPTOEXCHANGEBINANCE,362371.62,0.00,14299291.00,0
11-04-2023,NETTXN:Aug21Sal234TANGOEINDIA,730369.19,0.00,4427099.50,1
02-03-2023,NETTXN:AMAZON,778289.12,0.00,6743736.50,1
30-05-2024,NETTXN:PAYBILL123456,576453.69,0.00,7837741.00,0
17-03-2023,NETTXN:DARVEYS,889202.38,0.00,2091062.50,1
20-03-2023,CRYPTOEXCHANGECOINBASE,539280.62,0.00,15143226.00,0
24-03-2023,CRYPTOEXCHANGECOINBASE,631942.44,0.00,6040315.50,1
22-02-2023,NETTXN:DARVEYS,581415.06,0.00,5686723.00,1
15-12-2024,CRYPTOEXCHANGECOINBASE,620918.06,0.00,5528151.50,1
26-02-2023,NETTXN:TICKETBOOKINGINDIGO,177666.05,0.00,13210939.00,0
02-09-2023,CRYPTOEXCHANGEWAZIRX,71747.74,0.00,15497797.00,0
08-02-2023,PCA:5001234567:675849302948301:MUTUALFUNDS,0.00,142697.83,14925437.00,0
02-04-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,244520.94,0.00,14589661.00,0
02-04-2023,CRYPTOEXCHANGECOINBASE,538278.25,0.00,13484099.00,0
15-03-2023,CRYPTOEXCHANGEBINANCE,30189.62,0.00,16798584.00,0
25-03-2023,PCA:5001234567:123456789012345:AMAZON,80203.93,0.00,6210566.00,1
17-02-2023,PCA:5001234567:1234567891234:LOCALSHOP,758742.56,0.00,4509482.00,1
29-11-2024,NETTXN:AJIOLUXE,482996.19,0.00,15320726.00,0
21-11-2023,NETTXN:TICKETBOOKINGAIRINDIA,847568.19,0.00,6526445.50,0
21-09-2024,CRYPTOEXCHANGEBINANCE,638997.62,0.00,5825206.00,1
26-10-2024,PCA:5001234567:1234567891234:LOCALSHOP,737201.50,0.00,2677547.50,1
20-10-2023,IMPS/NA/XXX5678/RRN:123456789012/MOBTXN,0.00,447342.59,15270531.00,0
23-07-2024,NETTXN:farfetch,302104.38,0.00,15439686.00,0
13-04-2023,CRYPTOEXCHANGECOINBASE,719280.31,0.00,7111460.00,1
04-05-2024,NETTXN:DARVEYS,723713.94,0.00,10108006.00,0
29-06-2024,PCA:5001234567:123456789012345:AMAZON,406483.19,0.00,12247396.00,0
10-03-2023,NETTXN:PAYBILL987654,542994.69,0.00,14078904.00,0
18-02-2023,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,0.00,643264.62,13506373.00,0
01-07-2024,REVOFNETTXN:1234567890,830746.25,0.00,4126879.00,1
04-04-2023,REVOFNETTXN:1234567890,330060.31,0.00,9794143.00,0
13-08-2024,NETTXN:PAYBILL123456,701871.06,0.00,4168423.25,1
04-03-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),56872.78,0.00,15760340.00,0
23-10-2024,CRYPTOEXCHANGEWAZIRX,585691.56,0.00,4738928.00,1
26-02-2023,NETTXN:TICKETBOOKINGYATRA,12691.93,0.00,15162461.00,0
09-03-2023,NETTXN:tatacliq,0.00,655311.75,6171529.00,1
14-03-2023,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,737537.81,0.00,8154803.00,0
29-10-2024,PCA:5001234567:567890123456789:BIGBAZAAR,595347.19,0.00,12975447.00,0
20-08-2023,REVOFNETTXN:1234567890,6171.30,0.00,19260134.00,0
01-05-2023,NETTXN:FLIPKART,106158.74,0.00,11872774.00,0
23-02-2023,REFUNDOF:ZOMATO,0.00,353512.69,6995498.00,1
29-03-2023,NETTXN:farfetch,127007.18,0.00,16467688.00,0
29-05-2024,NETTXN:TICKETBOOKINGAIRINDIA,554321.00,0.00,13074044.00,0
14-04-2023,PCA:5001234567:1234567891234:LOCALSHOP,48277.56,0.00,11875460.00,0
03-02-2023,IMPS/RAHULKUMAR/XXX5678/RRN:123456789012,0.00,369315.75,2731295.00,1
22-02-2023,NETTXN:PAYBILL987654,562101.06,0.00,10351221.00,0
06-03-2023,NETTXN:AJIOLUXE,0.00,686122.00,12359868.00,0
21-02-2023,PCA:5001234567:567890123456789:BIGBAZAAR,833765.69,0.00,3289548.50,1
01-12-2024,PCA:5001234567:450987650123456:EBAY,307814.94,0.00,7152492.00,1
01-02-2024,PCA:5001234567:450987650123456:EBAY,41212.56,0.00,17231964.00,0
12-06-2024,PCA:5001234567:450987650123456:EBAY,582920.56,0.00,14046772.00,0
20-04-2023,CRYPTOEXCHANGEBINANCE,748029.75,0.00,6616677.00,1
28-02-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,401218.38,0.00,12678865.00,0
31-03-2023,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,99994.05,0.00,6191271.50,1
02-04-2023,NETTXN:AMAZON,444618.62,0.00,15936076.00,0
02-04-2023,FundsTransfertoXX8765/CC001002010123456/MOBTXN,0.00,14460.79,15964294.00,0
03-03-2023,NETTXN:AMAZON,736339.25,0.00,7731015.00,1
13-03-2023,PCA:5001234567:1234567891234:LOCALSHOP,332202.81,0.00,14589158.00,0
18-04-2024,NETTXN:tatacliq,0.00,626184.38,11003254.00,0
11-03-2023,NETTXN:FLIPKART,730677.25,0.00,8536263.00,0
18-02-2023,CRYPTOEXCHANGEBINANCE,694919.94,0.00,10803310.00,0
15-04-2023,NETTXN:PAYBILL987654,691378.50,0.00,5477730.50,1
08-09-2023,PCA:5001234567:123456789012345:AMAZON,456240.59,0.00,15937312.00,0
17-03-2023,CRYPTOEXCHANGEWAZIRX,585381.56,0.00,6308161.50,1
23-02-2023,EMItowardsLoanNo00234567,759357.69,0.00,7506148.00,1
18-03-2023,CRYPTOEXCHANGECOINBASE,343751.19,0.00,15449371.00,0
06-02-2024,PCA:5001234567:1234567891234:LOCALSHOP,259715.09,0.00,6690691.00,1
21-03-2023,EMItowardsLoanNo00234567,91989.72,0.00,17338582.00,0
21-03-2023,NETTXN:TICKETBOOKINGINDIGO,53001.36,0.00,8325014.00,0
16-02-2023,IMPS/NA/XXX5678/RRN:876543210987/MOBTXN,712393.19,0.00,2287066.75,1
12-02-2024,PCA:5001234567:098765432109876:FLIPKART,21421.35,0.00,17626616.00,0
28-10-2023,PCA:5001234567:1234567891234:LOCALSHOP,181037.23,0.00,3624003.75,1
29-08-2024,REVOFNETTXN:1234567890,0.00,218733.16,15323750.00,0
29-05-2023,EMItowardsLoanNo00234567,16924.08,0.00,15449434.00,0
26-03-2023,PCA:5001234567:1234567891234:LOCALSHOP,421669.72,0.00,15249293.00,0
05-03-2023,NETTXN:TICKETBOOKINGINDIGO,226905.69,0.00,14133422.00,0
18-04-2023,NETTXN:TICKETBOOKINGMAKEMYTRIP,16826.77,0.00,14938461.00,0
08-02-2023,NETTXN:TICKETBOOKINGINDIGO,735423.06,0.00,10466579.00,0
02-08-2023,CRYPTOEXCHANGEWAZIRX,353218.16,0.00,13733527.00,0
18-04-2023,FundsTransfertoXX8765/CC001002010123456/MOBTXN,0.00,314281.03,13594088.00,0
12-09-2024,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),453913.88,0.00,14066692.00,0
22-06-2024,NETTXN:TICKETBOOKINGINDIGO,390965.62,0.00,6607791.50,1
09-09-2024,NETTXN:TICKETBOOKINGMAKEMYTRIP,480523.12,0.00,6346397.00,1
14-03-2023,ATMWithdrawal,29679.68,0.00,10055970.00,0
03-04-2023,PCA:5001234567:PAYTMWAL9876543:PTM(PAYTM),278595.75,0.00,14266900.00,0
