WireReferenceID,SenderInstitution_BIC,BeneficiaryInstitution_BIC,OriginCountry,DestinationCountry,TransferAmount_EUR,CurrencyPair,TransferMessageStandard,KYC_CustomerRiskRating,SanctionScreeningResult,SettlementDuration_Minutes,AML_SuspiciousActivityFlag
SWIFT_W92021,HSBCGB2L,UBSWCHZH,AU,CA,6697.60,EUR/CHF,ISO20022_pacs008,PEP_Politically_Exposed,Clean_NoHit,15.38,0
SWIFT_W91639,HSBCGB2L,STANHKHH,DE,SG,805.56,EUR/SGD,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.85,0
SWIFT_W92639,DEUTDEDD,BCOPESMM,SG,DE,6238.54,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,115.21,0
SWIFT_W92865,HDFCINBB,STANHKHH,AE,AU,3750.99,EUR/AED,Fedwire_Funds,Enhanced_Due_Diligence,Clean_NoHit,12.44,0
SWIFT_W92777,HSBCGB2L,STANHKHH,CH,AU,5979.09,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,27.16,0
SWIFT_W90978,HDFCINBB,SMBCJPJT,CH,GB,17827.06,EUR/SGD,SEPA_Instant_Credit,Standard_Risk,Clean_NoHit,28.94,0
SWIFT_W91984,DEUTDEDD,SBININBB,DE,ES,99035.23,EUR/USD,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,136.22,0
SWIFT_W92634,DEUTDEDD,SBININBB,GB,CA,36152.08,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,118.28,0
SWIFT_W91655,DBSSHKHH,SBININBB,CH,DE,194896.22,EUR/SGD,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,151.87,1
SWIFT_W92264,HDFCINBB,SMBCJPJT,CH,GB,865.99,EUR/CHF,SWIFT_MT103,Standard_Risk,Clean_NoHit,1.80,0
SWIFT_W90735,HSBCGB2L,STANHKHH,AE,GB,1503.39,USD/CAD,SWIFT_MT103,Standard_Risk,Clean_NoHit,5.77,0
SWIFT_W92233,DBSSHKHH,SBININBB,FR,DE,79239.04,EUR/JPY,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,197.38,0
SWIFT_W91195,HSBCGB2L,UBSWCHZH,AU,CA,6818.41,EUR/GBP,ISO20022_pacs008,PEP_Politically_Exposed,Clean_NoHit,17.80,0
SWIFT_W92484,HDFCINBB,STANHKHH,AE,DE,3625.67,EUR/INR,SEPA_Instant_Credit,Standard_Risk,Clean_NoHit,8.78,0
SWIFT_W91291,HDFCINBB,STANHKHH,AU,ES,1943.15,USD/CAD,SWIFT_MT103,Standard_Risk,Clean_NoHit,10.71,0
SWIFT_W90606,HSBCGB2L,STANHKHH,AU,GB,2671.69,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,15.06,0
SWIFT_W92624,DEUTDEDD,INGBNL2A,DE,CA,25517.96,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Cleared_FalsePositive,78.72,0
SWIFT_W92753,HSBCGB2L,SMBCJPJT,GB,AU,4712.95,EUR/AED,Fedwire_Funds,Enhanced_Due_Diligence,Clean_NoHit,11.43,0
SWIFT_W92592,DBSSHKHH,FABAEADX,AU,DE,69289.52,EUR/CHF,SEPA_Instant_Credit,PEP_Politically_Exposed,Cleared_FalsePositive,72.22,0
SWIFT_W91282,HDFCINBB,STANHKHH,AU,DE,28246.76,EUR/USD,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,72.63,0
SWIFT_W92937,HSBCGB2L,SMBCJPJT,GB,JP,807.49,EUR/AED,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,0.78,0
SWIFT_W90959,SANTRSMM,UBSWCHZH,CH,SG,800.77,USD/CAD,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.31,0
SWIFT_W92103,DEUTDEDD,RABONL2U,CH,CH,176889.38,EUR/INR,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,161.67,1
SWIFT_W92298,HDFCINBB,STANHKHH,AU,CA,42324.41,EUR/CHF,Fedwire_Funds,Low_Risk,Clean_NoHit,79.50,1
SWIFT_W92139,DEUTDEDD,FABAEADX,FR,JP,3914.51,EUR/GBP,SWIFT_MT103,Low_Risk,Clean_NoHit,54.65,0
SWIFT_W91039,SANTRSMM,UBSWCHZH,AU,US,800.54,USD/JPY,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.23,0
SWIFT_W92445,DEUTDEDD,BCOPESMM,DE,ES,2714.23,EUR/GBP,SWIFT_MT103,Standard_Risk,Clean_NoHit,18.07,0
SWIFT_W92296,DEUTDEDD,BCOPESMM,DE,JP,1646.04,EUR/GBP,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,13.37,0
SWIFT_W92456,DEUTDEDD,SMBCJPJT,GB,CA,57921.62,EUR/GBP,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,79.35,0
SWIFT_W92895,HDFCINBB,RABONL2U,DE,CA,2563.55,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,12.79,0
SWIFT_W91818,DEUTDEDD,RABONL2U,DE,GB,29717.77,EUR/JPY,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,55.29,0
SWIFT_W92735,HDFCINBB,STANHKHH,GB,AU,10937.78,EUR/CHF,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,46.09,0
SWIFT_W92385,HDFCINBB,SMBCJPJT,DE,SG,994.32,EUR/GBP,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,3.31,0
SWIFT_W92365,DBSSHKHH,SMBCJPJT,AU,CH,83837.66,EUR/CHF,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,95.84,1
SWIFT_W92001,HDFCINBB,SMBCJPJT,CH,CA,150896.69,EUR/GBP,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,101.74,1
SWIFT_W90992,HDFCINBB,SMBCJPJT,CH,ES,15321.39,USD/CAD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,41.97,0
SWIFT_W92791,HSBCGB2L,SMBCJPJT,SG,CH,1522.83,EUR/AED,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,11.66,0
SWIFT_W92552,HDFCINBB,STANHKHH,CH,AU,17412.22,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Cleared_FalsePositive,45.30,0
SWIFT_W92459,HSBCGB2L,UBSWCHZH,AE,AU,6103.41,EUR/CHF,Fedwire_Funds,Low_Risk,Clean_NoHit,72.47,1
SWIFT_W92543,DBSSHKHH,FABAEADX,DE,GB,21760.68,EUR/CHF,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,56.71,0
SWIFT_W92852,DBSGSGSG,INGBNL2A,AE,DE,8046.38,EUR/CHF,SEPA_Instant_Credit,PEP_Politically_Exposed,Cleared_FalsePositive,21.13,0
SWIFT_W91337,DEUTDEDD,STANHKHH,DE,ES,11890.73,USD/CAD,SWIFT_MT103,Low_Risk,Clean_NoHit,44.93,0
SWIFT_W92655,HSBCGB2L,UBSWCHZH,GB,CH,3304.81,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,13.74,0
SWIFT_W92506,HDFCINBB,STANHKHH,AU,AU,12231.95,EUR/CHF,Fedwire_Funds,Enhanced_Due_Diligence,Cleared_FalsePositive,55.75,1
SWIFT_W91855,DBSSHKHH,SBININBB,DE,DE,290517.59,EUR/JPY,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,193.96,1
SWIFT_W92901,HDFCINBB,INGBNL2A,IN,AU,2491.21,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,20.63,0
SWIFT_W92309,HSBCGB2L,INGBNL2A,NL,GB,846.08,EUR/SGD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,4.86,0
SWIFT_W92881,HSBCGB2L,FABAEADX,SG,DE,869.16,EUR/AED,SWIFT_MT103,Low_Risk,Clean_NoHit,6.12,0
SWIFT_W92666,DBSSHKHH,FABAEADX,IN,CH,7877.51,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,179.56,0
SWIFT_W92786,HDFCINBB,STANHKHH,AU,AU,6327.35,EUR/AED,Fedwire_Funds,Enhanced_Due_Diligence,Clean_NoHit,12.66,0
SWIFT_W92901,SANTRSMM,UBSWCHZH,GB,CH,814.17,EUR/AED,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,0.46,0
SWIFT_W91522,HDFCINBB,STANHKHH,DE,JP,1958.63,USD/CAD,SWIFT_MT103,Low_Risk,Clean_NoHit,19.16,0
SWIFT_W92229,DBSSHKHH,INGBNL2A,DE,CH,86824.55,EUR/GBP,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,167.88,1
SWIFT_W92002,DEUTDEDD,SBININBB,AU,SG,1325.47,EUR/SGD,SWIFT_MT103,Standard_Risk,Clean_NoHit,5.61,0
SWIFT_W92732,DEUTDEDD,INGBNL2A,NL,CA,14537.18,EUR/GBP,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,186.14,0
SWIFT_W91178,SANTRSMM,UBSWCHZH,AU,SG,800.57,USD/JPY,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.27,0
SWIFT_W91379,HDFCINBB,SMBCJPJT,DE,JP,1169.82,USD/CAD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,7.48,0
SWIFT_W91235,HSBCGB2L,UBSWCHZH,CH,JP,1413.72,USD/JPY,SWIFT_MT103,Low_Risk,Clean_NoHit,15.44,0
SWIFT_W92746,DEUTDEDD,BARCGB22,SG,DE,2229.87,EUR/CHF,SWIFT_MT103,Enhanced_Due_Diligence,Clean_NoHit,89.58,0
SWIFT_W92939,HSBCGB2L,BCOPESMM,NL,CH,998.58,EUR/AED,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,9.55,0
SWIFT_W92763,HDFCINBB,STANHKHH,AU,AU,11073.92,EUR/AED,Fedwire_Funds,Low_Risk,Cleared_FalsePositive,23.48,0
SWIFT_W91559,HDFCINBB,SMBCJPJT,CH,CH,141390.19,EUR/INR,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,118.02,1
SWIFT_W91776,HSBCGB2L,STANHKHH,AE,CA,19462.81,EUR/GBP,Fedwire_Funds,PEP_Politically_Exposed,Clean_NoHit,54.29,0
SWIFT_W92696,DEUTDEDD,RABONL2U,IN,ES,4733.29,EUR/CHF,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,18.40,0
SWIFT_W91901,DEUTDEDD,RABONL2U,IN,DE,37717.36,EUR/INR,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,119.27,0
SWIFT_W91404,DEUTDEDD,SMBCJPJT,CH,GB,39665.90,EUR/USD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,62.53,0
SWIFT_W92984,SANTRSMM,SMBCJPJT,SG,CA,829.14,EUR/AED,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,2.19,0
SWIFT_W91472,DBSSHKHH,FABAEADX,CH,GB,9506.86,EUR/INR,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,42.20,0
SWIFT_W91853,DEUTDEDD,RABONL2U,AU,SG,1978.40,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,12.70,0
SWIFT_W91724,DEUTDEDD,SBININBB,DE,CH,103263.76,EUR/SGD,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,128.04,0
SWIFT_W91267,HSBCGB2L,UBSWCHZH,CH,US,806.34,USD/CAD,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.95,0
SWIFT_W91682,HSBCGB2L,STANHKHH,AU,SG,800.73,USD/JPY,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.31,0
SWIFT_W92364,HDFCINBB,STANHKHH,AU,CA,40523.46,EUR/INR,ISO20022_pacs008,Low_Risk,Clean_NoHit,78.65,0
SWIFT_W92414,HSBCGB2L,STANHKHH,GB,GB,817.87,EUR/SGD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,2.23,0
SWIFT_W91589,DEUTDEDD,SMBCJPJT,CH,ES,131455.92,EUR/USD,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,143.88,0
SWIFT_W92512,DEUTDEDD,RABONL2U,FR,CH,37537.44,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,164.72,0
SWIFT_W92832,HDFCINBB,STANHKHH,DE,CH,969.73,EUR/AED,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,1.91,0
SWIFT_W90824,HSBCGB2L,STANHKHH,DE,SG,805.18,USD/CAD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,1.12,0
SWIFT_W91388,HDFCINBB,RABONL2U,IN,DE,3818.48,EUR/INR,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,18.12,0
SWIFT_W92285,DEUTDEDD,SMBCJPJT,IN,CA,59974.79,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,103.20,0
SWIFT_W91825,SANTRSMM,STANHKHH,AU,US,800.53,USD/CAD,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.21,0
SWIFT_W92216,HDFCINBB,FABAEADX,GB,CA,75836.22,EUR/INR,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,86.63,0
SWIFT_W91065,SANTRSMM,STANHKHH,GB,JP,812.49,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.97,0
SWIFT_W92384,HDFCINBB,SBININBB,GB,JP,980.31,EUR/GBP,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,3.35,0
SWIFT_W92176,DBSSHKHH,INGBNL2A,AU,JP,10789.59,EUR/JPY,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,36.05,0
SWIFT_W92833,HDFCINBB,FABAEADX,IN,SG,805.62,EUR/CHF,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,1.94,0
SWIFT_W91341,HDFCINBB,STANHKHH,AU,JP,2089.57,USD/CAD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,16.92,0
SWIFT_W92707,HDFCINBB,SMBCJPJT,DE,AU,16019.44,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Cleared_FalsePositive,36.25,0
SWIFT_W92660,HDFCINBB,STANHKHH,CH,AU,13847.19,EUR/AED,Fedwire_Funds,Enhanced_Due_Diligence,Cleared_FalsePositive,48.61,1
SWIFT_W92830,HSBCGB2L,UBSWCHZH,DE,CH,1595.31,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,4.88,0
SWIFT_W92415,HDFCINBB,SMBCJPJT,GB,CH,30786.89,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,129.50,0
SWIFT_W92693,HSBCGB2L,UBSWCHZH,AE,AU,2254.53,EUR/AED,Fedwire_Funds,Low_Risk,Clean_NoHit,10.58,0
SWIFT_W92918,HSBCGB2L,STANHKHH,IN,DE,1116.47,EUR/AED,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,4.89,0
SWIFT_W92152,DBSSHKHH,SBININBB,DE,CH,240444.52,EUR/INR,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,149.82,1
SWIFT_W92860,HSBCGB2L,UBSWCHZH,CH,AU,3742.95,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,11.36,0
SWIFT_W92655,HDFCINBB,SMBCJPJT,AU,CA,63712.71,EUR/CHF,Fedwire_Funds,Low_Risk,Cleared_FalsePositive,53.55,0
SWIFT_W91992,HDFCINBB,SBININBB,CH,GB,1136.05,EUR/USD,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,6.07,0
SWIFT_W92001,DEUTDEDD,SMBCJPJT,CH,CH,81093.19,EUR/JPY,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,152.41,1
SWIFT_W92193,DEUTDEDD,SMBCJPJT,CH,CA,76973.17,EUR/CHF,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,110.97,1
SWIFT_W92210,HDFCINBB,STANHKHH,IN,CA,5798.90,EUR/GBP,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,31.19,0
SWIFT_W92981,HDFCINBB,BCOPESMM,FR,JP,802.55,EUR/AED,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.52,0
SWIFT_W91887,DEUTDEDD,SMBCJPJT,FR,CA,99379.99,EUR/GBP,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,80.76,0
SWIFT_W92376,HDFCINBB,STANHKHH,AU,CA,59782.65,EUR/CHF,Fedwire_Funds,Low_Risk,Cleared_FalsePositive,65.35,0
SWIFT_W92615,HDFCINBB,SBININBB,AU,AU,18734.69,EUR/CHF,ISO20022_pacs008,Enhanced_Due_Diligence,Cleared_FalsePositive,87.92,1
SWIFT_W92942,HSBCGB2L,SMBCJPJT,US,JP,838.00,EUR/CHF,SWIFT_MT103,Enhanced_Due_Diligence,Clean_NoHit,3.50,0
SWIFT_W91622,HSBCGB2L,UBSWCHZH,AU,JP,886.84,EUR/SGD,SWIFT_MT103,Standard_Risk,Clean_NoHit,1.65,0
SWIFT_W92651,DBSSHKHH,SBININBB,FR,CH,22937.42,EUR/CHF,ISO20022_pacs008,Low_Risk,Clean_NoHit,54.68,0
SWIFT_W92080,HDFCINBB,STANHKHH,AU,CA,50556.92,EUR/CHF,Fedwire_Funds,Low_Risk,Clean_NoHit,75.50,1
SWIFT_W91703,DBSSHKHH,RABONL2U,DE,CH,282048.25,EUR/GBP,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,150.12,1
SWIFT_W92225,HDFCINBB,SBININBB,DE,ES,1013.27,EUR/CHF,SWIFT_MT103,Standard_Risk,Clean_NoHit,3.69,0
SWIFT_W92890,SANTRSMM,STANHKHH,DE,SG,800.88,EUR/CHF,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.27,0
SWIFT_W92653,DBSGSGSG,BARCGB22,AU,GB,7040.18,EUR/CHF,SWIFT_MT103,PEP_Politically_Exposed,Cleared_FalsePositive,31.97,0
SWIFT_W92818,HSBCGB2L,STANHKHH,FR,JP,802.67,EUR/CHF,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,0.57,0
SWIFT_W92679,DBSSHKHH,BCOPESMM,DE,DE,5672.90,EUR/CHF,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,35.31,0
SWIFT_W92242,DBSSHKHH,INGBNL2A,DE,DE,101083.60,EUR/JPY,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,154.99,0
SWIFT_W92293,DEUTDEDD,SBININBB,DE,CH,118092.52,EUR/CHF,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,94.54,0
SWIFT_W92876,HSBCGB2L,SBININBB,SG,CH,2345.43,EUR/AED,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,29.15,0
SWIFT_W91924,HSBCGB2L,SMBCJPJT,CH,SG,803.70,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.68,0
SWIFT_W92316,HSBCGB2L,UBSWCHZH,AE,AU,8439.30,EUR/GBP,Fedwire_Funds,Low_Risk,Clean_NoHit,48.10,0
SWIFT_W91904,SANTRSMM,STANHKHH,CH,US,800.53,EUR/INR,SWIFT_MT103,Standard_Risk,Clean_NoHit,0.20,0
SWIFT_W91534,HSBCGB2L,STANHKHH,DE,CA,8837.43,EUR/JPY,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,20.13,0
SWIFT_W92144,DEUTDEDD,SMBCJPJT,IN,CH,92102.18,EUR/GBP,SEPA_Instant_Credit,Enhanced_Due_Diligence,Clean_NoHit,117.84,0
SWIFT_W91225,HDFCINBB,STANHKHH,AU,CH,27223.14,EUR/USD,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,54.54,0
SWIFT_W92837,HSBCGB2L,RABONL2U,US,GB,1404.67,EUR/INR,SWIFT_MT103,Enhanced_Due_Diligence,Clean_NoHit,26.79,0
SWIFT_W92619,DEUTDEDD,INGBNL2A,CH,SG,836.31,EUR/CHF,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,2.65,0
SWIFT_W92974,HDFCINBB,BARCGB22,NL,JP,812.67,EUR/AED,SWIFT_MT103,Low_Risk,Clean_NoHit,4.17,0
SWIFT_W91028,HSBCGB2L,STANHKHH,AU,GB,829.99,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,1.27,0
SWIFT_W91404,SANTRSMM,UBSWCHZH,AE,CA,819.39,EUR/CHF,SEPA_Instant_Credit,Standard_Risk,Clean_NoHit,0.82,0
SWIFT_W92789,HDFCINBB,BCOPESMM,NL,SG,816.40,EUR/CHF,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,3.26,0
SWIFT_W92268,DEUTDEDD,RABONL2U,GB,CH,40483.10,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,129.18,0
SWIFT_W92742,DEUTDEDD,SMBCJPJT,AU,CA,23628.44,EUR/CHF,ISO20022_pacs008,Low_Risk,Clean_NoHit,26.53,0
SWIFT_W92523,HSBCGB2L,SMBCJPJT,US,GB,1116.47,EUR/INR,SWIFT_MT103,Enhanced_Due_Diligence,Clean_NoHit,13.40,0
SWIFT_W91722,DBSSHKHH,RABONL2U,DE,ES,27895.60,EUR/SGD,SWIFT_MT103,Low_Risk,Clean_NoHit,95.15,0
SWIFT_W92616,HDFCINBB,SBININBB,SG,ES,2026.26,EUR/GBP,SWIFT_MT103,Enhanced_Due_Diligence,Clean_NoHit,35.52,0
SWIFT_W92323,HDFCINBB,SMBCJPJT,NL,JP,2635.34,EUR/CHF,SWIFT_MT103,Low_Risk,Clean_NoHit,24.14,0
SWIFT_W92701,SANTRSMM,STANHKHH,SG,GB,801.97,EUR/INR,SWIFT_MT103,PEP_Politically_Exposed,Clean_NoHit,0.56,0
SWIFT_W92167,DBSSHKHH,INGBNL2A,FR,DE,57133.95,EUR/CHF,SEPA_Instant_Credit,Low_Risk,Cleared_FalsePositive,129.26,0
SWIFT_W92798,HSBCGB2L,SMBCJPJT,AU,AU,14141.58,EUR/AED,Fedwire_Funds,Enhanced_Due_Diligence,Cleared_FalsePositive,31.16,1
SWIFT_W91157,HSBCGB2L,SMBCJPJT,DE,JP,897.43,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,4.78,0
SWIFT_W92064,HDFCINBB,SBININBB,GB,DE,15020.30,EUR/GBP,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,24.61,0
SWIFT_W92138,HDFCINBB,STANHKHH,AU,CH,81489.00,EUR/GBP,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,108.57,1
SWIFT_W92445,DEUTDEDD,SMBCJPJT,CH,CA,39160.70,EUR/CHF,ISO20022_pacs008,Enhanced_Due_Diligence,Cleared_FalsePositive,95.06,1
SWIFT_W90552,HSBCGB2L,STANHKHH,CH,GB,2296.17,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,12.45,0
SWIFT_W92669,HDFCINBB,INGBNL2A,IN,CA,11375.75,EUR/CHF,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,121.96,0
SWIFT_W92873,HSBCGB2L,UBSWCHZH,CH,AU,1906.82,EUR/AED,Fedwire_Funds,Enhanced_Due_Diligence,Clean_NoHit,4.96,0
SWIFT_W92189,DEUTDEDD,STANHKHH,AU,CA,66741.58,EUR/GBP,ISO20022_pacs008,Low_Risk,Cleared_FalsePositive,111.39,1
SWIFT_W91356,HDFCINBB,SBININBB,AU,SG,895.49,EUR/USD,SWIFT_MT103,Standard_Risk,Clean_NoHit,3.83,0
SWIFT_W92944,HDFCINBB,STANHKHH,AU,ES,1026.84,EUR/AED,SEPA_Instant_Credit,PEP_Politically_Exposed,Clean_NoHit,1.50,0
SWIFT_W90445,HSBCGB2L,STANHKHH,AE,JP,858.01,USD/CAD,SWIFT_MT103,Standard_Risk,Clean_NoHit,1.60,0
SWIFT_W92919,HSBCGB2L,SMBCJPJT,CH,CA,844.63,EUR/AED,SEPA_Instant_Credit,Standard_Risk,Clean_NoHit,0.86,0
SWIFT_W91778,HSBCGB2L,STANHKHH,AU,GB,1250.68,EUR/SGD,SWIFT_MT103,Standard_Risk,Clean_NoHit,3.14,0
SWIFT_W92832,HDFCINBB,RABONL2U,NL,CH,5958.14,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Clean_NoHit,41.53,0
SWIFT_W92596,DEUTDEDD,FABAEADX,FR,AU,13614.85,EUR/AED,SEPA_Instant_Credit,Enhanced_Due_Diligence,Cleared_FalsePositive,76.76,0
SWIFT_W92463,DBSGSGSG,RABONL2U,AU,DE,32093.38,EUR/INR,SEPA_Instant_Credit,PEP_Politically_Exposed,Cleared_FalsePositive,50.76,0
SWIFT_W92802,DEUTDEDD,FABAEADX,AU,CA,10367.89,EUR/AED,ISO20022_pacs008,Enhanced_Due_Diligence,Cleared_FalsePositive,27.84,0
SWIFT_W91314,DEUTDEDD,SMBCJPJT,CH,CH,78601.04,EUR/SGD,SEPA_Instant_Credit,Low_Risk,Clean_NoHit,99.64,0
