ApplicantID,EmploymentType,AnnualIncome_USD,CreditScore_FICO,LoanAmount_USD,LoanTerm_Months,DebtToIncome_Ratio,InterestRate_Pct,ExistingLiabilities_Count,HomeOwnership,LoanPurpose,MissedPaymentsLast2Yrs,LoanDefaultRisk
APP_10061,Government_Public,40506.34,759,7245.69,84,0.15,8.67,1,Mortgage,Home_Improvement,0,0
APP_10062,Self_Employed_Professional,240059.92,672,104042.27,24,0.40,10.86,4,Rent,Home_Improvement,0,0
APP_10063,Salaried_Corporate,42120.90,589,20088.89,36,0.33,14.21,2,Own_Outright,Home_Improvement,1,0
APP_10064,Salaried_Corporate,33733.28,660,16170.74,36,0.27,13.05,5,Rent,Auto_Purchase,0,0
APP_10065,Salaried_Corporate,22000.00,591,10441.48,60,0.19,14.59,1,Mortgage,Home_Improvement,3,1
APP_10066,Salaried_Corporate,41509.64,713,15939.68,36,0.23,10.39,4,Own_Outright,Home_Improvement,0,0
APP_10067,Government_Public,69932.19,728,37227.78,60,0.45,9.98,0,Mortgage,Medical_Emergency,0,0
APP_10068,Salaried_Corporate,107932.55,739,81973.13,60,0.61,8.23,4,Rent,Debt_Consolidation,0,0
APP_10069,Salaried_Corporate,40881.07,670,16385.43,36,0.23,10.71,4,Rent,Medical_Emergency,0,0
APP_10070,Small_Business_Owner,112101.95,645,58798.20,36,0.24,13.16,3,Mortgage,Debt_Consolidation,0,0
APP_10071,Government_Public,64301.55,657,47794.24,36,0.50,12.10,4,Own_Outright,Medical_Emergency,0,0
APP_10072,Small_Business_Owner,53186.69,684,22817.95,36,0.36,11.28,2,Mortgage,Debt_Consolidation,0,0
APP_10073,Salaried_Corporate,71523.22,657,17553.00,84,0.17,12.92,3,Mortgage,Auto_Purchase,0,0
APP_10074,Salaried_Corporate,125230.01,795,56694.89,24,0.31,6.73,3,Mortgage,Debt_Consolidation,0,0
APP_10075,Retired,67710.65,666,34072.72,48,0.39,11.65,2,Rent,Medical_Emergency,0,0
APP_10076,Small_Business_Owner,40186.33,683,30461.64,24,0.32,11.21,2,Mortgage,Medical_Emergency,0,1
APP_10077,Government_Public,80086.59,641,59832.26,48,0.54,13.27,6,Own_Outright,Home_Improvement,0,0
APP_10078,Salaried_Corporate,79512.04,643,54699.90,24,0.27,12.64,4,Rent,Medical_Emergency,0,0
APP_10079,Small_Business_Owner,60741.10,607,25381.87,36,0.19,13.72,4,Mortgage,Education_Tuition,1,1
APP_10080,Retired,104788.05,623,36031.89,48,0.13,15.00,4,Own_Outright,Debt_Consolidation,0,0
APP_10081,Salaried_Corporate,23620.84,812,10842.17,36,0.33,6.90,3,Rent,Medical_Emergency,0,0
APP_10082,Salaried_Corporate,77705.62,725,29039.51,84,0.35,10.51,1,Rent,Home_Improvement,1,0
APP_10083,Salaried_Corporate,94179.42,668,78728.75,48,0.37,10.59,0,Mortgage,Medical_Emergency,1,0
APP_10084,Small_Business_Owner,34476.48,647,7208.63,24,0.13,11.76,3,Mortgage,Education_Tuition,0,0
APP_10085,Salaried_Corporate,33946.22,770,17110.99,36,0.45,8.84,2,Rent,Medical_Emergency,0,0
APP_10086,Salaried_Corporate,103689.67,636,43434.51,36,0.36,12.99,5,Mortgage,Debt_Consolidation,0,0
APP_10087,Self_Employed_Professional,112252.31,579,77531.16,36,0.42,14.92,2,Own_Outright,Home_Improvement,1,1
APP_10088,Small_Business_Owner,122014.64,721,69239.87,24,0.45,9.37,2,Mortgage,Home_Improvement,0,0
APP_10089,Salaried_Corporate,48443.56,630,9307.02,24,0.07,14.18,3,Rent,Debt_Consolidation,1,1
APP_10090,Retired,72437.55,607,45005.87,60,0.50,14.75,2,Mortgage,Medical_Emergency,0,0
APP_10091,Salaried_Corporate,76877.69,619,38042.07,84,0.39,13.74,1,Mortgage,Auto_Purchase,2,1
APP_10092,Self_Employed_Professional,30691.98,717,17842.59,24,0.41,10.47,6,Rent,Auto_Purchase,0,0
APP_10093,Self_Employed_Professional,71023.58,683,15204.62,48,0.09,11.25,1,Mortgage,Debt_Consolidation,1,0
APP_10094,Self_Employed_Professional,70433.13,626,35698.10,24,0.27,12.99,0,Own_Outright,Medical_Emergency,0,0
APP_10095,Self_Employed_Professional,92539.40,721,48106.60,36,0.24,9.72,4,Employer_Provided,Home_Improvement,0,0
APP_10096,Self_Employed_Professional,51164.18,636,12912.35,24,0.10,13.79,1,Own_Outright,Debt_Consolidation,0,0
APP_10097,Small_Business_Owner,116156.86,584,67400.43,36,0.52,14.73,2,Mortgage,Home_Improvement,2,1
APP_10098,Small_Business_Owner,68607.15,605,53942.39,36,0.36,14.34,2,Rent,Medical_Emergency,7,1
APP_10099,Retired,142824.72,691,23962.80,48,0.08,10.86,1,Mortgage,Home_Improvement,0,0
APP_10100,Government_Public,92593.48,639,30279.72,36,0.25,13.83,3,Mortgage,Education_Tuition,0,0
APP_10101,Self_Employed_Professional,74979.04,697,28519.36,60,0.21,10.47,2,Mortgage,Debt_Consolidation,1,0
APP_10102,Small_Business_Owner,38876.56,762,20642.35,24,0.32,9.88,2,Rent,Home_Improvement,0,0
APP_10103,Salaried_Corporate,36534.02,649,24407.08,36,0.26,12.26,5,Mortgage,Debt_Consolidation,1,0
APP_10104,Self_Employed_Professional,135997.25,850,83324.93,24,0.56,5.04,2,Mortgage,Debt_Consolidation,2,0
APP_10105,Salaried_Corporate,98221.29,708,46485.75,24,0.45,12.20,3,Mortgage,Debt_Consolidation,1,0
APP_10106,Salaried_Corporate,58204.20,679,47842.71,36,0.47,10.79,1,Mortgage,Auto_Purchase,0,0
APP_10107,Government_Public,54854.38,603,21354.47,24,0.19,14.34,0,Rent,Home_Improvement,0,0
APP_10108,Small_Business_Owner,73119.32,667,51097.85,48,0.54,12.88,1,Own_Outright,Home_Improvement,2,0
APP_10109,Salaried_Corporate,36122.28,674,26306.96,36,0.59,10.58,4,Own_Outright,Home_Improvement,0,0
APP_10110,Self_Employed_Professional,53612.88,739,11830.40,48,0.10,9.69,0,Mortgage,Debt_Consolidation,0,0
APP_10111,Salaried_Corporate,87172.32,651,15749.30,12,0.12,11.41,3,Rent,Debt_Consolidation,0,0
APP_10112,Small_Business_Owner,92580.87,718,77808.40,24,0.39,10.27,5,Mortgage,Medical_Emergency,1,0
APP_10113,Salaried_Corporate,56070.17,693,22479.99,36,0.20,12.76,2,Mortgage,Auto_Purchase,0,0
APP_10114,Self_Employed_Professional,135959.42,753,84002.35,24,0.40,7.10,3,Mortgage,Auto_Purchase,0,0
APP_10115,Small_Business_Owner,105899.25,758,18053.39,24,0.10,8.74,2,Employer_Provided,Debt_Consolidation,3,0
APP_10116,Self_Employed_Professional,46819.54,712,32056.91,12,0.43,10.09,1,Own_Outright,Home_Improvement,3,1
APP_10117,Salaried_Corporate,37267.76,740,14776.91,60,0.23,8.64,2,Mortgage,Home_Improvement,0,0
APP_10118,Small_Business_Owner,86470.24,763,48156.52,36,0.22,7.40,1,Mortgage,Auto_Purchase,0,0
APP_10119,Small_Business_Owner,54039.37,725,9922.40,12,0.07,10.87,4,Own_Outright,Debt_Consolidation,0,0
APP_10120,Salaried_Corporate,49611.71,708,11188.71,36,0.11,10.76,1,Mortgage,Debt_Consolidation,0,0
APP_10121,Salaried_Corporate,73152.44,717,53121.34,60,0.48,8.79,1,Own_Outright,Business_Expansion,0,0
APP_10122,Self_Employed_Professional,91465.92,795,49200.69,24,0.26,6.72,0,Mortgage,Debt_Consolidation,1,0
APP_10123,Salaried_Corporate,94501.06,697,65573.22,36,0.50,10.55,2,Mortgage,Business_Expansion,0,0
APP_10124,Salaried_Corporate,67834.94,737,17834.09,84,0.21,8.30,1,Rent,Medical_Emergency,0,0
APP_10125,Self_Employed_Professional,23570.25,646,8943.61,60,0.34,12.89,1,Own_Outright,Home_Improvement,0,1
APP_10126,Self_Employed_Professional,101670.17,788,75825.64,36,0.68,7.93,1,Mortgage,Debt_Consolidation,0,0
APP_10127,Government_Public,46039.97,719,25790.24,24,0.32,10.40,4,Mortgage,Education_Tuition,0,0
APP_10128,Retired,76021.41,668,47008.10,24,0.57,13.65,3,Rent,Debt_Consolidation,0,0
APP_10129,Small_Business_Owner,62631.81,685,18445.98,60,0.26,10.67,2,Rent,Home_Improvement,0,0
APP_10130,Salaried_Corporate,181647.84,676,97921.08,48,0.29,11.37,4,Rent,Debt_Consolidation,0,0
APP_10131,Salaried_Corporate,167050.77,690,110890.99,36,0.38,10.82,4,Rent,Debt_Consolidation,0,0
APP_10132,Salaried_Corporate,53811.22,704,14578.80,12,0.12,11.42,2,Mortgage,Auto_Purchase,0,0
APP_10133,Self_Employed_Professional,36131.23,677,12991.52,24,0.31,12.31,0,Mortgage,Debt_Consolidation,0,0
APP_10134,Self_Employed_Professional,37425.60,587,5846.91,48,0.10,14.04,4,Mortgage,Medical_Emergency,2,1
APP_10135,Retired,74772.44,805,61615.62,48,0.39,8.27,4,Mortgage,Auto_Purchase,0,0
APP_10136,Salaried_Corporate,51902.02,707,40331.27,36,0.65,9.91,1,Rent,Home_Improvement,0,0
APP_10137,Salaried_Corporate,40134.59,708,8610.39,36,0.18,11.28,0,Mortgage,Medical_Emergency,0,0
APP_10138,Self_Employed_Professional,52278.85,687,38298.71,48,0.54,11.99,2,Own_Outright,Debt_Consolidation,0,1
APP_10139,Salaried_Corporate,81067.37,749,43145.34,48,0.31,9.44,1,Mortgage,Auto_Purchase,0,0
APP_10140,Salaried_Corporate,63881.25,693,52712.45,36,0.40,10.87,1,Rent,Debt_Consolidation,0,0
APP_10141,Salaried_Corporate,53259.16,670,26983.01,84,0.41,11.71,4,Rent,Medical_Emergency,1,0
APP_10142,Salaried_Corporate,56353.67,674,16609.33,12,0.24,12.20,5,Rent,Education_Tuition,0,0
APP_10143,Salaried_Corporate,61520.85,771,46102.16,36,0.49,8.76,3,Mortgage,Auto_Purchase,0,0
APP_10144,Self_Employed_Professional,73143.79,703,59000.56,24,0.64,11.34,3,Rent,Debt_Consolidation,2,0
APP_10145,Small_Business_Owner,75100.14,688,39162.50,48,0.24,11.88,3,Rent,Home_Improvement,1,0
APP_10146,Government_Public,31515.09,662,13721.39,36,0.29,12.52,4,Own_Outright,Education_Tuition,0,0
APP_10147,Salaried_Corporate,71325.85,669,49398.06,24,0.38,13.13,1,Own_Outright,Education_Tuition,0,1
APP_10148,Salaried_Corporate,56222.68,760,11745.66,36,0.20,8.25,1,Mortgage,Medical_Emergency,0,0
APP_10149,Government_Public,41931.48,630,31024.73,36,0.45,13.43,2,Rent,Debt_Consolidation,0,0
APP_10150,Retired,55953.69,734,42108.95,36,0.36,9.22,3,Rent,Home_Improvement,1,0
APP_10151,Government_Public,111330.81,736,39753.57,12,0.17,11.55,0,Mortgage,Business_Expansion,0,0
APP_10152,Self_Employed_Professional,95213.84,704,15034.64,24,0.15,11.35,0,Mortgage,Debt_Consolidation,1,0
APP_10153,Government_Public,69129.94,678,10844.34,84,0.15,12.49,4,Mortgage,Auto_Purchase,0,0
APP_10154,Small_Business_Owner,44192.30,594,36884.65,24,0.69,15.05,8,Employer_Provided,Home_Improvement,2,1
APP_10155,Salaried_Corporate,35888.32,733,24988.90,36,0.44,9.65,2,Own_Outright,Auto_Purchase,1,0
APP_10156,Salaried_Corporate,43311.91,586,17372.39,36,0.30,17.11,2,Employer_Provided,Debt_Consolidation,2,1
APP_10157,Government_Public,66535.72,701,51404.86,48,0.60,11.82,6,Own_Outright,Debt_Consolidation,1,0
APP_10158,Government_Public,67169.71,693,52028.84,36,0.33,10.88,2,Mortgage,Debt_Consolidation,0,0
APP_10159,Self_Employed_Professional,49359.60,740,38784.47,48,0.34,9.23,1,Own_Outright,Education_Tuition,0,0
APP_10160,Self_Employed_Professional,98224.42,632,49232.82,48,0.29,13.50,3,Mortgage,Medical_Emergency,1,1
APP_10161,Salaried_Corporate,78670.27,629,56981.93,36,0.42,13.00,6,Own_Outright,Medical_Emergency,0,0
APP_10162,Small_Business_Owner,22000.00,725,4000.00,84,0.12,9.71,5,Own_Outright,Business_Expansion,1,0
APP_10163,Salaried_Corporate,69503.15,679,18209.39,48,0.14,10.42,1,Own_Outright,Debt_Consolidation,2,0
APP_10164,Salaried_Corporate,92963.65,559,55101.95,48,0.43,14.03,2,Mortgage,Education_Tuition,3,1
APP_10165,Salaried_Corporate,72482.15,690,16149.79,48,0.18,12.83,1,Own_Outright,Debt_Consolidation,0,0
APP_10166,Self_Employed_Professional,85963.52,808,15502.10,36,0.16,6.60,1,Rent,Debt_Consolidation,2,0
APP_10167,Retired,58772.91,726,13274.62,48,0.14,9.71,3,Mortgage,Home_Improvement,0,0
APP_10168,Government_Public,64256.32,613,30077.98,36,0.25,14.06,7,Rent,Business_Expansion,1,0
APP_10169,Salaried_Corporate,64863.62,721,31901.11,60,0.22,10.69,1,Own_Outright,Medical_Emergency,0,0
APP_10170,Salaried_Corporate,71885.96,754,57379.72,84,0.55,9.57,4,Own_Outright,Debt_Consolidation,0,0
APP_10171,Salaried_Corporate,50990.88,578,22703.87,36,0.17,16.09,2,Mortgage,Business_Expansion,4,0
APP_10172,Salaried_Corporate,108187.17,671,55182.90,36,0.44,12.39,6,Mortgage,Auto_Purchase,0,0
APP_10173,Self_Employed_Professional,125523.91,774,90546.93,36,0.46,8.01,3,Rent,Auto_Purchase,0,1
APP_10174,Self_Employed_Professional,52106.28,591,37532.02,60,0.52,15.81,2,Rent,Home_Improvement,2,1
APP_10175,Salaried_Corporate,39108.04,672,14806.48,48,0.22,11.75,2,Own_Outright,Home_Improvement,0,0
APP_10176,Retired,36121.24,676,23738.90,60,0.23,12.57,2,Mortgage,Debt_Consolidation,0,0
APP_10177,Small_Business_Owner,79398.51,663,61145.18,36,0.63,10.98,1,Rent,Medical_Emergency,0,0
APP_10178,Salaried_Corporate,86208.72,779,62619.90,48,0.46,9.09,3,Rent,Debt_Consolidation,2,0
APP_10179,Small_Business_Owner,79548.88,769,30216.32,24,0.23,7.69,1,Own_Outright,Medical_Emergency,0,0
APP_10180,Salaried_Corporate,82687.25,670,55234.46,36,0.54,10.80,3,Mortgage,Home_Improvement,0,0
APP_10181,Self_Employed_Professional,51237.75,624,34146.87,36,0.37,12.57,2,Mortgage,Medical_Emergency,0,1
APP_10182,Self_Employed_Professional,27022.70,773,8631.53,36,0.24,8.43,3,Rent,Auto_Purchase,0,0
APP_10183,Salaried_Corporate,52903.29,740,32737.58,36,0.49,11.28,5,Mortgage,Home_Improvement,0,0
APP_10184,Self_Employed_Professional,139279.66,689,29463.87,36,0.20,11.12,0,Mortgage,Home_Improvement,0,1
APP_10185,Retired,74545.05,733,25487.23,60,0.28,9.61,1,Rent,Debt_Consolidation,0,0
APP_10186,Small_Business_Owner,80100.89,732,13604.49,36,0.06,10.35,2,Own_Outright,Debt_Consolidation,0,0
APP_10187,Self_Employed_Professional,99422.55,633,24025.36,36,0.17,12.83,0,Mortgage,Debt_Consolidation,0,0
APP_10188,Government_Public,45340.75,651,10179.55,48,0.16,12.52,5,Own_Outright,Debt_Consolidation,0,0
APP_10189,Government_Public,73171.78,690,59469.69,12,0.34,10.96,2,Rent,Home_Improvement,1,0
APP_10190,Government_Public,83324.00,564,22054.18,36,0.21,17.34,1,Rent,Home_Improvement,0,0
APP_10191,Salaried_Corporate,43493.49,668,8732.17,36,0.12,12.09,4,Mortgage,Business_Expansion,0,0
APP_10192,Salaried_Corporate,77943.30,638,52625.83,24,0.49,13.71,1,Rent,Debt_Consolidation,1,1
APP_10193,Small_Business_Owner,118529.18,701,71586.87,60,0.31,10.28,3,Own_Outright,Debt_Consolidation,0,0
APP_10194,Retired,55253.33,617,32890.25,48,0.27,12.95,1,Mortgage,Auto_Purchase,1,0
APP_10195,Self_Employed_Professional,30483.37,718,23605.01,48,0.46,10.77,3,Mortgage,Debt_Consolidation,0,0
APP_10196,Retired,71515.35,704,44090.57,36,0.29,10.94,4,Employer_Provided,Medical_Emergency,0,0
APP_10197,Self_Employed_Professional,49244.54,683,30422.85,36,0.58,12.32,3,Mortgage,Auto_Purchase,0,0
APP_10198,Salaried_Corporate,71789.14,720,33731.38,48,0.37,9.46,5,Mortgage,Medical_Emergency,0,0
APP_10199,Government_Public,45298.66,729,24732.07,48,0.20,9.77,4,Own_Outright,Debt_Consolidation,0,0
APP_10200,Government_Public,68011.86,675,46667.47,36,0.40,10.75,2,Rent,Debt_Consolidation,0,0
APP_10201,Self_Employed_Professional,114949.88,692,46138.57,36,0.36,10.78,0,Mortgage,Business_Expansion,0,0
APP_10202,Small_Business_Owner,65348.51,646,11451.59,24,0.12,11.67,0,Rent,Education_Tuition,0,0
APP_10203,Salaried_Corporate,31504.38,645,14130.51,24,0.29,12.63,2,Rent,Auto_Purchase,1,0
APP_10204,Self_Employed_Professional,78360.65,793,32427.74,12,0.28,8.59,2,Rent,Debt_Consolidation,0,0
APP_10205,Salaried_Corporate,66766.59,677,18510.22,48,0.15,11.02,1,Rent,Home_Improvement,0,0
APP_10206,Self_Employed_Professional,72835.01,689,47061.88,36,0.38,10.58,4,Mortgage,Medical_Emergency,0,1
APP_10207,Self_Employed_Professional,102532.84,685,73120.88,48,0.33,11.29,1,Rent,Debt_Consolidation,1,1
APP_10208,Salaried_Corporate,52246.03,714,13635.82,36,0.20,10.23,3,Own_Outright,Business_Expansion,0,0
APP_10209,Salaried_Corporate,58126.75,655,28298.95,36,0.24,13.12,3,Own_Outright,Business_Expansion,1,0
APP_10210,Salaried_Corporate,41637.60,661,15751.02,36,0.23,11.25,1,Mortgage,Debt_Consolidation,1,0
APP_10211,Self_Employed_Professional,72186.73,751,39527.90,24,0.50,7.05,1,Own_Outright,Debt_Consolidation,1,0
APP_10212,Salaried_Corporate,71339.97,593,15392.41,84,0.13,14.78,3,Mortgage,Home_Improvement,1,1
APP_10213,Self_Employed_Professional,58872.12,702,47326.48,36,0.44,12.17,2,Own_Outright,Home_Improvement,0,0
APP_10214,Self_Employed_Professional,92613.26,637,18018.31,48,0.12,12.99,1,Mortgage,Home_Improvement,1,0
APP_10215,Salaried_Corporate,41501.63,559,30120.54,36,0.36,16.26,5,Own_Outright,Medical_Emergency,1,1
APP_10216,Small_Business_Owner,70061.45,685,20051.84,36,0.23,11.36,1,Mortgage,Home_Improvement,0,0
APP_10217,Small_Business_Owner,86725.22,615,59808.01,36,0.52,14.53,1,Own_Outright,Debt_Consolidation,1,0
APP_10218,Small_Business_Owner,51848.16,603,18015.12,36,0.17,14.13,1,Own_Outright,Debt_Consolidation,2,0
APP_10219,Salaried_Corporate,35664.46,850,25066.61,36,0.42,5.44,4,Mortgage,Home_Improvement,1,0
APP_10220,Self_Employed_Professional,30856.06,725,24406.53,36,0.53,11.30,2,Rent,Home_Improvement,0,0
APP_10221,Self_Employed_Professional,70961.42,727,57121.48,60,0.70,10.83,0,Own_Outright,Education_Tuition,1,1
APP_10222,Small_Business_Owner,141819.72,687,107001.89,36,0.42,10.80,1,Rent,Debt_Consolidation,0,0
APP_10223,Salaried_Corporate,50293.23,612,22518.36,24,0.31,13.51,4,Own_Outright,Auto_Purchase,1,0
APP_10224,Small_Business_Owner,81072.15,679,36491.73,24,0.41,11.16,2,Rent,Debt_Consolidation,0,0
APP_10225,Retired,22216.72,667,18145.34,84,0.41,11.17,2,Rent,Auto_Purchase,0,0
APP_10226,Government_Public,78274.20,565,60575.20,24,0.61,15.29,2,Mortgage,Debt_Consolidation,2,0
APP_10227,Government_Public,40547.04,806,19845.89,48,0.36,6.98,0,Employer_Provided,Home_Improvement,0,0
APP_10228,Salaried_Corporate,55437.13,684,23757.58,24,0.19,10.84,2,Mortgage,Home_Improvement,0,0
APP_10229,Self_Employed_Professional,68561.77,636,14805.68,36,0.20,13.59,2,Rent,Auto_Purchase,0,0
APP_10230,Salaried_Corporate,31339.89,698,12631.08,36,0.33,9.62,3,Own_Outright,Debt_Consolidation,0,0
APP_10231,Self_Employed_Professional,272539.45,600,130743.96,84,0.29,13.53,2,Mortgage,Debt_Consolidation,2,0
APP_10232,Small_Business_Owner,50393.07,629,36860.41,36,0.50,13.96,2,Own_Outright,Home_Improvement,0,0
APP_10233,Small_Business_Owner,86955.61,790,32767.63,36,0.21,9.17,2,Mortgage,Medical_Emergency,0,0
APP_10234,Retired,129534.21,656,46867.43,36,0.18,12.67,2,Rent,Debt_Consolidation,0,0
APP_10235,Retired,75503.70,689,12721.76,12,0.15,10.61,4,Rent,Debt_Consolidation,0,0
APP_10236,Salaried_Corporate,38083.10,697,6768.08,60,0.12,10.10,0,Own_Outright,Auto_Purchase,0,0
