WireTransferID,OriginatingCountry,BeneficiaryCountry,Currency,TransferAmount,SenderAccountType,KYC_VerificationLevel,PEP_Status,SanctionsScreeningResult,TransactionsInLast24h,StructuringRiskIndex,AML_SuspiciousActivityFlag
SWIFT_00000073,GB,SG,AED,20308.35,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,4,0.78,0
SWIFT_00000074,KY,GB,EUR,89332.60,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,13,0.85,1
SWIFT_00000075,GB,VG,GBP,224334.91,OFFSHORE_TRUST,TIER_1_STANDARD,YES,POTENTIAL_SANCTION_MATCH,5,0.93,1
SWIFT_00000076,KY,IN,SGD,17355.63,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,11,0.60,1
SWIFT_00000077,CH,AE,GBP,93122.97,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,10,0.21,0
SWIFT_00000078,US,US,AED,230357.81,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,3,0.19,1
SWIFT_00000079,PA,CY,EUR,99261.65,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,13,0.33,1
SWIFT_00000080,AE,US,GBP,168984.47,ESCROW,TIER_1_STANDARD,NO,CLEAR,7,0.81,1
SWIFT_00000081,IN,GB,AED,121763.83,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,YES,POTENTIAL_SANCTION_MATCH,14,0.63,1
SWIFT_00000082,US,RU,USD,131846.87,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,13,0.22,0
SWIFT_00000083,CH,VG,SGD,105119.19,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,4,0.98,1
SWIFT_00000084,AE,IN,AED,83255.29,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,7,0.16,0
SWIFT_00000085,DE,GB,SGD,5323.04,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,7,0.25,0
SWIFT_00000086,KY,RU,USD,226050.40,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,13,0.33,1
SWIFT_00000087,IN,SG,GBP,112032.94,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,6,0.44,0
SWIFT_00000088,SG,US,EUR,210085.78,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,12,0.27,1
SWIFT_00000089,AE,IN,EUR,8611.44,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,5,0.35,0
SWIFT_00000090,SG,US,AED,76691.47,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,10,0.34,0
SWIFT_00000091,KY,CY,USD,66251.64,ESCROW,TIER_3_SIMPLIFIED,YES,CLEAR,2,0.57,1
SWIFT_00000092,KY,IN,SGD,3257.11,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,4,0.74,1
SWIFT_00000093,US,GB,USD,31140.23,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.53,0
SWIFT_00000094,AE,GB,INR,18504.34,CORPORATE_CURRENT,TIER_2_ENHANCED,YES,CLEAR,9,0.57,1
SWIFT_00000095,US,GB,EUR,12464.75,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,9,0.54,0
SWIFT_00000096,PA,RU,USD,235409.25,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,7,0.39,1
SWIFT_00000097,PA,IN,AED,243850.80,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,12,0.54,1
SWIFT_00000098,DE,US,AED,237875.43,ESCROW,TIER_1_STANDARD,YES,CLEAR,4,0.57,1
SWIFT_00000099,CH,SG,AED,153231.58,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,3,0.95,0
SWIFT_00000100,KY,RU,INR,16066.04,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,6,0.48,1
SWIFT_00000101,GB,US,USD,29111.50,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.57,0
SWIFT_00000102,PA,HK,AED,45208.23,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,5,0.31,1
SWIFT_00000103,KY,GB,INR,70353.32,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,3,0.86,1
SWIFT_00000104,CH,HK,USD,149148.34,ESCROW,TIER_2_ENHANCED,YES,CLEAR,10,0.05,1
SWIFT_00000105,DE,AE,AED,169688.03,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,2,0.95,0
SWIFT_00000106,PA,HK,GBP,128956.91,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,11,0.73,1
SWIFT_00000107,US,RU,USD,121940.03,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,14,0.79,1
SWIFT_00000108,US,IN,GBP,239299.45,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,6,0.35,1
SWIFT_00000109,CH,GB,INR,28577.37,ESCROW,TIER_2_ENHANCED,NO,CLEAR,3,0.45,0
SWIFT_00000110,SG,US,INR,68909.69,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,13,0.34,0
SWIFT_00000111,GB,HK,AED,158098.75,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,3,0.57,0
SWIFT_00000112,CH,RU,EUR,103044.23,ESCROW,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,4,0.65,1
SWIFT_00000113,PA,HK,SGD,60713.71,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,1,0.88,1
SWIFT_00000114,AE,GB,INR,59692.38,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,11,0.64,0
SWIFT_00000115,PA,SG,EUR,213013.73,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,9,0.83,1
SWIFT_00000116,US,SG,AED,208111.50,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,11,0.63,1
SWIFT_00000117,KY,GB,USD,220272.46,ESCROW,TIER_2_ENHANCED,NO,CLEAR,14,0.46,1
SWIFT_00000118,DE,SG,SGD,208463.27,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,8,0.33,1
SWIFT_00000119,DE,IN,GBP,246172.44,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,14,0.66,1
SWIFT_00000120,AE,HK,AED,224405.62,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,9,0.49,1
SWIFT_00000121,PA,CY,EUR,233090.11,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,13,0.69,1
SWIFT_00000122,IN,GB,INR,35354.15,ESCROW,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,12,0.17,1
SWIFT_00000123,CH,IN,EUR,210128.09,ESCROW,TIER_2_ENHANCED,NO,CLEAR,13,0.12,0
SWIFT_00000124,PA,CY,AED,134762.03,ESCROW,TIER_1_STANDARD,NO,CLEAR,1,0.28,1
SWIFT_00000125,CH,GB,USD,9034.00,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,1,0.64,0
SWIFT_00000126,IN,AE,SGD,74110.50,ESCROW,TIER_2_ENHANCED,NO,CLEAR,6,0.81,0
SWIFT_00000127,SG,HK,GBP,7412.46,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,8,0.12,0
SWIFT_00000128,US,CY,AED,106033.82,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,5,0.04,0
SWIFT_00000129,SG,IN,INR,141215.58,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,3,0.34,1
SWIFT_00000130,AE,IN,INR,173147.09,CORPORATE_CURRENT,TIER_1_STANDARD,YES,CLEAR,10,0.99,1
SWIFT_00000131,DE,VG,GBP,234361.99,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,9,0.89,1
SWIFT_00000132,CH,AE,USD,30255.51,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,15,0.84,1
SWIFT_00000133,PA,SG,GBP,39714.58,ESCROW,TIER_3_SIMPLIFIED,YES,CLEAR,14,0.29,1
SWIFT_00000134,AE,HK,INR,159851.24,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,15,0.13,1
SWIFT_00000135,GB,US,EUR,216337.59,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,5,0.94,0
SWIFT_00000136,KY,GB,SGD,34423.64,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.44,1
SWIFT_00000137,SG,HK,USD,130821.05,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,YES,CLEAR,15,0.77,1
SWIFT_00000138,PA,VG,USD,70313.55,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,12,0.43,1
SWIFT_00000139,DE,AE,INR,230380.60,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,5,0.62,0
SWIFT_00000140,IN,VG,GBP,46127.77,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,13,0.22,0
SWIFT_00000141,KY,IN,SGD,121741.71,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,4,0.29,1
SWIFT_00000142,US,RU,GBP,138176.30,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,CLEAR,13,0.86,1
SWIFT_00000143,AE,AE,EUR,25889.25,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,CLEAR,12,0.18,1
SWIFT_00000144,DE,HK,GBP,135903.80,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,12,0.21,0
SWIFT_00000145,US,US,AED,194119.12,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,9,0.52,0
SWIFT_00000146,AE,IN,EUR,230222.10,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,5,0.62,0
SWIFT_00000147,US,AE,USD,151754.39,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,2,0.14,1
SWIFT_00000148,SG,IN,SGD,26910.64,ESCROW,TIER_1_STANDARD,YES,CLEAR,2,0.92,1
SWIFT_00000149,SG,VG,INR,234336.52,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,3,0.92,1
SWIFT_00000150,IN,VG,GBP,243019.55,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,10,0.84,1
SWIFT_00000151,AE,RU,USD,47890.21,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,CLEAR,11,0.90,1
SWIFT_00000152,PA,CY,USD,789.89,ESCROW,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,5,0.32,1
SWIFT_00000153,US,CY,SGD,99733.94,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,6,0.82,1
SWIFT_00000154,PA,SG,SGD,2890.54,OFFSHORE_TRUST,TIER_2_ENHANCED,YES,CLEAR,7,0.41,1
SWIFT_00000155,GB,IN,GBP,72866.05,OFFSHORE_TRUST,TIER_2_ENHANCED,NO,CLEAR,12,0.57,0
SWIFT_00000156,GB,CY,SGD,205795.98,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,CLEAR,15,0.23,0
SWIFT_00000157,CH,CY,AED,249850.67,ESCROW,TIER_1_STANDARD,NO,CLEAR,5,0.76,0
SWIFT_00000158,PA,IN,INR,224495.68,ESCROW,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,2,0.95,1
SWIFT_00000159,DE,HK,GBP,153942.20,INDIVIDUAL_SAVINGS,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,9,0.15,1
SWIFT_00000160,US,VG,AED,160872.00,OFFSHORE_TRUST,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,3,0.34,1
SWIFT_00000161,KY,SG,SGD,31643.41,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,NO,CLEAR,6,0.75,1
SWIFT_00000162,PA,AE,EUR,239661.32,CORPORATE_CURRENT,TIER_1_STANDARD,YES,CLEAR,6,0.74,1
SWIFT_00000163,US,CY,INR,92538.53,ESCROW,TIER_1_STANDARD,NO,CLEAR,3,0.16,0
SWIFT_00000164,US,IN,INR,52852.53,CORPORATE_CURRENT,TIER_1_STANDARD,YES,CLEAR,13,0.40,1
SWIFT_00000165,IN,SG,EUR,188350.68,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,2,0.10,0
SWIFT_00000166,GB,IN,GBP,83447.19,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,11,0.05,0
SWIFT_00000167,AE,GB,EUR,53360.47,ESCROW,TIER_1_STANDARD,NO,CLEAR,11,0.91,0
SWIFT_00000168,GB,HK,GBP,159025.81,CORPORATE_CURRENT,TIER_1_STANDARD,NO,CLEAR,13,0.24,0
SWIFT_00000169,IN,HK,EUR,50616.93,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,14,0.90,0
SWIFT_00000170,AE,HK,AED,167805.00,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,1,0.38,1
SWIFT_00000171,KY,GB,INR,76792.45,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,6,0.21,1
SWIFT_00000172,AE,GB,USD,76357.52,ESCROW,TIER_3_SIMPLIFIED,YES,CLEAR,13,0.39,1
SWIFT_00000173,GB,SG,AED,2992.06,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,15,0.13,0
SWIFT_00000174,DE,AE,SGD,178827.02,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,8,0.14,0
SWIFT_00000175,US,GB,EUR,49411.85,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,2,0.90,0
SWIFT_00000176,KY,VG,USD,25071.20,ESCROW,TIER_3_SIMPLIFIED,NO,POTENTIAL_SANCTION_MATCH,15,0.86,1
SWIFT_00000177,GB,US,INR,233059.29,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,CLEAR,12,0.23,1
SWIFT_00000178,GB,US,USD,246459.26,INDIVIDUAL_SAVINGS,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,15,0.22,1
SWIFT_00000179,CH,US,USD,2493.37,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,13,0.61,0
SWIFT_00000180,SG,US,AED,83294.74,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,15,0.05,0
SWIFT_00000181,GB,AE,INR,234523.58,ESCROW,TIER_3_SIMPLIFIED,YES,POTENTIAL_SANCTION_MATCH,2,0.60,1
SWIFT_00000182,US,IN,GBP,127333.04,ESCROW,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,9,0.33,1
SWIFT_00000183,KY,AE,AED,87653.93,ESCROW,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,2,0.82,1
SWIFT_00000184,GB,US,EUR,129498.47,OFFSHORE_TRUST,TIER_3_SIMPLIFIED,NO,CLEAR,8,0.55,1
SWIFT_00000185,KY,RU,INR,226188.52,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,7,0.70,1
SWIFT_00000186,GB,SG,INR,19306.31,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,14,0.10,1
SWIFT_00000187,GB,VG,EUR,59898.08,ESCROW,TIER_1_STANDARD,YES,POTENTIAL_SANCTION_MATCH,3,0.74,1
SWIFT_00000188,GB,RU,EUR,227062.03,ESCROW,TIER_1_STANDARD,NO,CLEAR,8,0.98,1
SWIFT_00000189,KY,IN,USD,18486.32,CORPORATE_CURRENT,TIER_2_ENHANCED,NO,POTENTIAL_SANCTION_MATCH,3,0.28,1
SWIFT_00000190,PA,GB,INR,44625.50,CORPORATE_CURRENT,TIER_3_SIMPLIFIED,NO,CLEAR,7,0.11,1
SWIFT_00000191,GB,CY,GBP,166479.89,CORPORATE_CURRENT,TIER_1_STANDARD,NO,POTENTIAL_SANCTION_MATCH,3,0.39,1
SWIFT_00000192,KY,IN,AED,107277.76,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,3,0.39,1
SWIFT_00000193,GB,RU,SGD,131218.10,OFFSHORE_TRUST,TIER_1_STANDARD,NO,CLEAR,6,0.26,0
SWIFT_00000194,US,GB,INR,192209.80,INDIVIDUAL_SAVINGS,TIER_1_STANDARD,NO,CLEAR,4,0.18,0
SWIFT_00000195,KY,HK,SGD,201877.51,ESCROW,TIER_3_SIMPLIFIED,NO,CLEAR,1,0.97,1
